sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-004748_RV_16	इन्द्रतेजसः परेषाम् शत्रूणाम् जेतुः बन्धुमतः तस्य कुशस्य पुरस्तात्स्थित्वा
sp003-004749_RV_16	जयशब्दः पूर्वम् यथा स्यात् तथा अञ्जलिम् बबन्ध
sp003-004750_RV_16	अथेति
sp003-004751_RV_16	अथ सविस्मयः पूर्वार्धेन शरीरपूर्वभागेन विसृष्टतल्पः त्यक्तशय्यः दाशरथेः तनूजः कुशः
sp003-004752_RV_16	अनपोढार्गलम् अनुद्घाटितविष्कम्भमपि
sp003-004753_RV_16	तद्विष्कम्भोऽर्गलम् न ना इत्यमरः
sp003-004754_RV_16	अगारम् आदर्शतलम् छायामिव
sp003-004755_RV_16	प्रविष्टाम् ताम् वनिताम् प्रोवाच अवदत्
sp003-004756_RV_16	लब्धेति
sp003-004757_RV_16	का त्वम् इति च
sp003-004758_RV_16	युग्मम्
sp003-004759_RV_16	सावरणेऽपि गेहे लब्धान्तरा लब्धावकाशा
sp003-004760_RV_16	त्वमिति शेषः
sp003-004761_RV_16	योगप्रभावश्च ते न लक्ष्यते
sp003-004762_RV_16	मृणालिनी हैमम् हिमकृतम् उपरागम् उपद्रवमिव
sp003-004763_RV_16	अनिर्वृतानाम् दुःखितानाम् आकारम् बिभर्षि च
sp003-004764_RV_16	न हि योगिनाम् दुःखम् अस्तीति भावः
sp003-004765_RV_16	किम् च
sp003-004766_RV_16	हे शुभे त्वम् का कस्य वा परिग्रहः पत्नी
sp003-004767_RV_16	ते तव मदभ्यागमे कारणम् वा किम्
sp003-004768_RV_16	वशिनाम् जितेन्द्रियाणाम् रघूणाम् मनः परस्त्रीषु विषये विमुखा प्रवृत्तिः यस्य तत् तथाभूतम् मत्वा आचक्ष्व
sp003-004769_RV_16	तमिति
sp003-004770_RV_16	सा वनिता तम् कुशम् अब्रवीत्
sp003-004771_RV_16	अनवद्या अदोषा या पूः स्वपदोन्मुखेन विष्णुपदोन्मुखेन गुरुणा त्वत्पित्रा नीतपौरा हे राजन्
sp003-004772_RV_16	माम् सम्प्रति वीतनाथाम् आनाथाम् तस्याः पुरः नगर्याः अयोध्यायाः अधिदेवताम् जानीहि
sp003-004773_RV_16	वस्वौकसारामिति
sp003-004774_RV_16	साहम् सौराज्येन राजन्वत्तया हेतुना बद्धोत्सवया विभूत्या
sp003-004775_RV_16	वस्वौकसारा अलका पुरी
sp003-004776_RV_16	अलका पुरी वस्वौकसारा स्यात् इति कोशः
sp003-004777_RV_16	अथवा मानसोत्तरशैलशिखरवर्तिनी शक्रनगरी
sp003-004778_RV_16	वस्वौकसारा शक्रस्य इति विष्णुपुराणात्
sp003-004779_RV_16	ताम् अभिभूय तिरस्कृत्य समग्रशक्तौ त्वयि सूर्यवंश्ये सति करुणाम् अवस्थाम् दीनाम् दशाम् प्रपन्ना प्राप्ता
sp003-004780_RV_16	विशीर्णेति
sp003-004781_RV_16	तल्पानि अट्टालिकाः
sp003-004782_RV_16	तल्पम् शय्याट्टदारेषु इत्यमरः
sp003-004783_RV_16	अट्टानि गृहभेदाः
sp003-004784_RV_16	अट्टम् भक्ते च शुष्के च क्षौमेऽत्यर्थे गृहान्तरे इति विश्वः
sp003-004785_RV_16	विशीर्णानि तल्पानाम् अट्टानाम् च शतानि यस्य सः तथोक्तः
sp003-004786_RV_16	विशीर्णकल्पाट्टशतो निवेशः इति वा पाठः
sp003-004787_RV_16	अट्टाःक्षौमाः
sp003-004788_RV_16	स्यादट्टः क्षौममस्त्रियाम् इत्यमरः
sp003-004789_RV_16	ईषदसमाप्तम् विशीर्णानि विशीर्णकल्पानि अट्टशतानि यस्य सः तथोक्तः
sp003-004790_RV_16	पर्यस्तसालः स्रस्तप्राकारः
sp003-004791_RV_16	प्राकारो वरणः सालः इत्यमरः
sp003-004792_RV_16	प्रभुणा स्वामिना विना एवम्भूतः मे निवेशः निवेशनम्
sp003-004793_RV_16	अस्तनिमग्नसूर्यम् अस्ताद्रिलीनार्कम् उग्रानिलेन भिन्नमेघम् दिनान्तम् विडम्बयति अनुकरोति
sp003-004794_RV_16	निशास्विति
sp003-004795_RV_16	निशासु भास्वन्ति दीप्तिमन्ति कलानि अव्यक्तमधुराणि नूपुराणि यासाम् तासाम् अभिसारिकाणाम्
sp003-004796_RV_16	कान्तार्थिनी तु या याति सङ्केतम् साभिसारिका इत्यमरः
sp003-004797_RV_16	यः राजपथः सञ्चरन्ति अनेन सञ्चरः सञ्चारसाधनम् अभूत्
sp003-004798_RV_16	गोचरसञ्चर इत्यादिना घप्रत्ययान्तो निपातः
sp003-004799_RV_16	नदत्सु मुखेषु या उल्काः ताभिः विचितामिषाभिः अन्विष्टमांसाभिः शिवाभिः क्रोष्ट्रीभिः सः राजपथः वाह्यते गम्यते
sp003-004800_RV_16	वहेः वहेः अन्यः वहिधातुः अस्तीति उपदेशः
sp003-004801_RV_16	आस्फालितमिति
sp003-004802_RV_16	यत् अम्भः प्रमदाकराग्रैः आस्फालितम् ताडितम् सत्
sp003-004803_RV_16	जलक्रीडास्विति शेषः
sp003-004804_RV_16	मृदङ्गानाम् यः धीरध्वनिः तम् अन्वगच्छत् अन्वकरोत्
sp003-004805_RV_16	तत् दीर्घिकाणाम् अम्भः इदानीम् वन्यैः महिषैः कर्तृभिः शृङ्गैः विषाणैः आहतम् सत् क्रोशति
sp003-004806_RV_16	न तु मृदङ्गध्वनिम् अनुकरोति इत्यर्थः
sp003-004807_RV_16	वृक्षेशया इति
sp003-004808_RV_16	यष्टिरेव निवासः स्थानम् तस्य भङ्गात्
sp003-004809_RV_16	वृक्षे शेरते इति वृक्षेशयाः
sp003-004810_RV_16	अधिकरणे शेतेः इत्यच्प्रत्ययः
sp003-004811_RV_16	शयवासवासिष्वकालात् इत्यलुक्सप्तम्याः
sp003-004812_RV_16	मृदङ्गशब्दानाम् अपगमात् अभावात् अलास्याः नृत्यशून्याः
sp003-004813_RV_16	देवः अलास्याः नृत्यशून्याः दवः अरण्य वह्निः
sp003-004814_RV_16	दवदावौ वनारण्यवह्नी इत्यमरः
sp003-004815_RV_16	तस्य उल्काभिः स्फुलिङ्गैः हतेभ्यः शेषाणि बर्हाणि येषाम् ते क्रीडामयूराः वनबर्हिणत्वम् वनमयूरत्वम् प्राप्ताः
sp003-004816_RV_16	सोपानेति
sp003-004817_RV_16	किञ्च
sp003-004818_RV_16	येषु सोपानमार्गेषु रामाः रमण्यः सरागान् लाक्षारसार्द्रान् चरणान् इक्षिप्तवत्यः
sp003-004819_RV_16	तेषु मे मम मार्गेषु सद्यो हतन्यङ्कुभिः मारितमृगैः व्याघ्रैः अस्रदिग्धम् रुधिरलिप्तम् पदम् निधीयते
sp003-004820_RV_16	चित्रेति
sp003-004821_RV_16	प्रद्मवनम् अवतीर्णाः प्रविष्टाः
sp003-004822_RV_16	तथा लिखिताः इत्यर्थः
sp003-004823_RV_16	करेणुभिः करिणीभिः
sp003-004824_RV_16	चित्रगताभिरेव
sp003-004825_RV_16	करेणुरिभ्याम् स्त्री नेभे इत्यमरः
sp003-004826_RV_16	दत्तमृणालभङ्गाः चित्रद्विपाः आलेख्यमातङ्गाः
sp003-004827_RV_16	नखाः एव अङ्कुशाः तेषाम् आघातैः विभिन्नकुम्भाः सन्तः संरब्धसिंहप्रहृतम् कुपितसिंहप्रहारम् वहन्ति
sp003-004828_RV_16	स्तम्भेष्विति
sp003-004829_RV_16	उत्क्रान्तवर्णक्रमाः विशीर्णवर्णविन्यासाः ताश्च धूसराश्च याः तासाम् स्तम्भेषु योषित्प्रतियातनानाम्
sp003-004830_RV_16	स्त्रीप्रतिकृतीनाम् दारुमयीणाम् फणिभिः विमुक्ताः निर्मोकाः कञ्चुकाः एव पट्टाः
sp003-004831_RV_16	समौ कञ्चुकनिर्मोकौ इत्यमरः
sp003-004832_RV_16	सङ्गात् सक्तत्वात् स्तनोत्तरीयाणि स्तनाच्छादनवस्त्राणि भवन्ति
sp003-004833_RV_16	कालेति
sp003-004834_RV_16	कालान्तरेण कालभेदवशेन श्यामसुधेषु मलिनचूर्णेषु इतस्ततः रूढतृणाङ्कुरेषु हर्म्येषु
sp003-004835_RV_16	गृहेषु नक्तम् रात्रौ मुक्तागुणानाम् शुद्धिरिव शुद्धिः स्वाच्छ्यम् येषाम् तादृशाः अपि
sp003-004836_RV_16	ततः पूर्वम् ये मूर्च्छन्ति स्म ते एव चन्द्रपादाः चन्द्ररश्मयः
sp003-004837_RV_16	पादा रश्म्यङ्घ्रितुर्याशाः इत्यमरः
sp003-004838_RV_16	न मूर्च्छन्ति
sp003-004839_RV_16	न प्रतिफलन्तीत्यर्थः
sp003-004840_RV_16	आवर्ज्येति
sp003-004841_RV_16	किञ्च
sp003-004842_RV_16	विलासिनीभिः सदयम् शाखाः शाखाः लतावयवान् आवर्ज्य आनमय्य
sp003-004843_RV_16	यासाम् लतानाम् पुष्पाणि उपात्तानि गृहीतानि ताः मदीयाः उद्यानलताः
sp003-004844_RV_16	वन्यैः पुलिन्दैः म्लेच्छविशेषैरिव वानरैः उभयेरपि इत्यर्थः
sp003-004845_RV_16	क्लिश्यन्ते पीड्यन्ते
sp003-004846_RV_16	क्लिश्नातेः कर्मणि लट्
sp003-004847_RV_16	भेदाः किरातशबरपुलिन्दा म्लेच्छजातयः इत्यमरः
sp003-004848_RV_16	रात्राविति
sp003-004849_RV_16	रात्रौ अनाविष्कृतदीपभासः
sp003-004850_RV_16	दीपप्रभाशून्याः इत्यर्थः
sp003-004851_RV_16	दिवापि दिवसेऽपि कान्तामुखनाम् श्रिया कान्त्या वियुताः रहिताः विच्छिन्नः नष्टः धूमप्रसरः येषाम् ते
sp003-004852_RV_16	गवाक्षाः कृमितन्तुजालैः लूतातन्तुवितानैः तिरस्क्रियन्ते छाद्यन्ते
sp003-004853_RV_16	बलिक्रियेति
sp003-004854_RV_16	बलिः पूजोपहारः स्यात् इति विश्वः
sp003-004855_RV_16	बलिक्रियावर्जितानि सैकतानि येषाम् तानि
sp003-004856_RV_16	स्नानीयानि स्नान साधनानि चूर्णादीनि
sp003-004857_RV_16	कृत्यल्युटो बहुलम् इति करणे अनीर्प्रत्ययः
sp003-004858_RV_16	स्नानीयसंसर्गम् अनाप्नुवन्ति सरयूजलानि शून्यानि रिक्तानि उपान्तेषु
sp003-004859_RV_16	वानीरगृहाणि येषाम् तानि च दृष्ट्वा दूये परितप्ये
sp003-004860_RV_16	तदिति
sp003-004861_RV_16	तत् तस्मात् इमाम् वसतिम् कुशावतीम् विसृज्य कुलराजधानीम् अयोध्याम् माम् अभ्युपेतुम् अर्हसि
sp003-004862_RV_16	कथमिव
sp003-004863_RV_16	ते गुरुः पिता रामः ताम् प्रसिद्धाम् कारणवशात् मानुषीम् तनुम् मानुषमूर्तिम्
sp003-004864_RV_16	हित्वा परमात्ममूर्तिम् यथा विष्णुमूर्तिमिव
sp003-004865_RV_16	तथेति
sp003-004866_RV_16	रघूणाम् प्राग्रहरः श्रेष्ठः कुशः तस्याः पुरः प्रणयम् याच्ञाम् प्रतीतः हृष्टस्सन् तथेति प्रत्यग्रहीत् स्वीकृतवान्
sp003-004867_RV_16	पूः पुराधिदेवतापि अभिव्यक्तमुखप्रसादा सती
sp003-004868_RV_16	इष्टलाभादिति भावः
sp003-004869_RV_16	शरीरबन्धेन शरीरयोगेन करणेन तिरोबभूव अन्तर्दधे
sp003-004870_RV_16	मानवम् रूपम् विहाय दैवम् रूपम् अग्रहीत् इत्यर्थः
sp003-004871_RV_16	तदिति
sp003-004872_RV_16	नृपतिः कुशः तत् अद्भुतम् रात्रिवृत्तम् रात्रिवृत्तान्तम् प्रातः संसदि सभायाम् द्विजेभ्यः शशंस
sp003-004873_RV_16	ते द्विजाः श्रुत्वा एनम् कुलराजधान्याः साक्षात् स्वयमेव पतित्वे विषये वृत्तम् अभ्यनन्दन्
sp003-004874_RV_16	पतित्वेन वृतोऽसि इत्यपूजयन्
sp003-004875_RV_16	आशीर्भिरिति शेषः
sp003-004876_RV_16	अत्र गार्ग्यः दृष्ट्वा स्वप्नम् शोभनम् नैव सुप्यात् पश्चादृष्टो यः स पाकम् विधत्ते
sp003-004877_RV_16	शंसेदिष्टम् तत्र साधुर्द्विजेभ्यः ते चाशीर्भिः प्रीणयेयुर्नरेन्द्रम्
sp003-004878_RV_16	इदमपि स्वप्नतुल्यमिति भावः
sp003-004879_RV_16	कुशावतीमिति
sp003-004880_RV_16	सः कुशः कुशावतीम् श्रोत्रियेषु छान्दसेषु अधीनाम् श्रोत्रियसात्
sp003-004881_RV_16	तदधीनवचने इति सातिप्रत्ययः
sp003-004882_RV_16	श्रोत्रियंश्छन्दोधीते इति निपातः
sp003-004883_RV_16	श्रोत्रियश्छान्दसौ समौ इत्यमरः
sp003-004884_RV_16	कृत्वा यात्रानुकूले अहनि सावरोधः सान्तः पुरस्सन्
sp003-004885_RV_16	वायुः अभ्रवृन्दैरिव
sp003-004886_RV_16	सैन्यैः अनुद्रुतः अनुगतस्सन् अयोध्याभिमुखः प्रतस्थे
sp003-004887_RV_16	सेति
sp003-004888_RV_16	केतुमालाः एव उपवनानि यस्याः सा बृहद्भिः नागैः गजैः विहारशैलैः
sp003-004889_RV_16	क्रीडाशैलैः अनुगता इव स्थिता
sp003-004890_RV_16	रथाः एव उदारगृहाः यस्याः सा सा सेना तस्य कुशस्य प्रयाणे
sp003-004891_RV_16	जङ्गमराजधानी सञ्चारिणी नगरी इव अभवत् बभूव
sp003-004892_RV_16	तेनेति
sp003-004893_RV_16	आतपत्रमेव अमलम् मण्डलम् बिम्बम् यस्य तेन तेन कुशेन पूर्वनिवासभूमिम्
sp003-004894_RV_16	अयोध्याम् प्रति प्रस्थापितः बलौघः
sp003-004895_RV_16	आतपत्रवत् अमलमण्डलेन उदितेन शशिना वेलाम् नीयमानः प्राप्यमाणः
sp003-004896_RV_16	उदकम् अस्य अस्तीति उदन्वान् उदधिरिव बभौ
sp003-004897_RV_16	उदन्वान् उदधौ च इति निपातनात् साधुः
sp003-004898_RV_16	तस्येति
sp003-004899_RV_16	प्रयातस्य प्रस्थितस्य तस्य कुशस्य वरूथिनीनाम् सेनानाम् कर्तॄणाम्
sp003-004900_RV_16	कर्तृकर्मणोः कृति इति कर्तरि षष्ठी
sp003-004901_RV_16	पीडाम् सोढुम् अपर्याप्तवतीव अशक्ता इव वसुन्धरा रजश्छलेन
sp003-004902_RV_16	द्वितीयम् विष्णुपदम् आकाशम् अध्यारुरोह इव
sp003-004903_RV_16	इत्युत्प्रेक्षा
sp003-004904_RV_16	उद्यच्छमानेति
sp003-004905_RV_16	पश्चात् कुशावत्याः सकाशात् गमनाय प्रयाणाय तथा पुरः अग्रे निवेशे निमित्ते
sp003-004906_RV_16	निवेष्टुम् च इत्यर्थः
sp003-004907_RV_16	उद्यच्छमाना उद्योगम् कुर्वती
sp003-004908_RV_16	सम् उदाङ्भ्यो यमोऽग्रन्थे इत्यस्य सकर्मकाधिकारत्वात् आत्मनेपदम्
sp003-004909_RV_16	पथि च व्रजन्ती नृपस्य सा सेना यत्र पश्चात् पुरः मध्ये वा ददृशे तत्रैव सामग्र्यमतिम् कृत्स्नताबुद्धिम् चकार
sp003-004910_RV_16	अपरिमिता तस्य सेना इत्यर्थः
sp003-004911_RV_16	तस्येति
sp003-004912_RV_16	नेतुः तस्य कुशस्य द्विपानाम् मदवारिभिः सेकात् तुरङ्गमाणाम् खुराभिघाताच्च यथासङ्ख्यम्
sp003-004913_RV_16	पथि रेणुः रजः पङ्कभावम् पङ्कताम् प्रपेदे पङ्कोऽपि रेणुत्वम् इयाय
sp003-004914_RV_16	तस्य तावदस्तीत्यर्थः
sp003-004915_RV_16	मार्गेति
sp003-004916_RV_16	वैन्ध्येषु विन्ध्यसम्बन्धिषु कटकान्तरेषु नितम्बावकाशेषु
sp003-004917_RV_16	कटकोऽस्त्री नितम्बोऽद्रेः इत्यमरः
sp003-004918_RV_16	मार्गैषिणी मार्गावलोकिनी
sp003-004919_RV_16	अत एव बहुधा विभिन्ना
sp003-004920_RV_16	महाबिरावा दीर्घशब्दा सा सेना
sp003-004921_RV_16	रेवा इव नर्मदा इव
sp003-004922_RV_16	रेवा तु नर्मदा सोमोद्भवा मेखलकन्यका इत्यमरः
sp003-004923_RV_16	गुहामुखानि बद्धप्रतिश्रुन्ति प्रतिध्वानवन्ति चकार अकरोत्
sp003-004924_RV_16	स इति
sp003-004925_RV_16	धातूनाम् गैरिकादीनाम् भेदेन अरुणा यातनेमिः रथचक्रधारा यस्य
sp003-004926_RV_16	प्रयाणे ये ध्वनयः क्ष्वेडहेषादयः तन्मिश्राणि तूर्याणि यस्य एवंविधः सः प्रभुः कुशः
sp003-004927_RV_16	पुलिन्दैः किरातैः उपपादितानि समर्पितानि उपायनानि पश्यन्
sp003-004928_RV_16	विन्ध्यम् व्यलङ्घयत्
sp003-004929_RV_16	तीर्थ इति
sp003-004930_RV_16	तदीये वैन्ध्ये तीर्थे अवतारे गजाः एव सेतुः तस्य बन्धात् हेतोः
sp003-004931_RV_16	प्रतीपगाम् पश्चिमवाहिनीम् गङ्गाम् उत्तरतः अस्य कुशस्य नभोलङ्घनेन लोलपक्षाः
sp003-004932_RV_16	हंसाः अयत्नेन वालव्यजनीबभूवुः चामराणि अभूवन्
sp003-004933_RV_16	अभूततद्भावे च्विः
sp003-004934_RV_16	स इति
sp003-004935_RV_16	सः कुशः कपिलेन मुनिना रोषात् भस्मावशेषीकृताः विग्रहाः देहाः येषाम् तेषाम् पूर्वजानाम्
sp003-004936_RV_16	वृद्धानाम् सागराणाम् सुरालयस्य स्वर्गस्य प्राप्तौ निमित्तम् नौभिः लुलितम् क्षुभितम्
sp003-004937_RV_16	त्रिस्रोतसः इदम् त्रैस्रोतसम् गाङ्गम् अमम्भः ववन्दे
sp003-004938_RV_16	इतीति
sp003-004939_RV_16	इति कैश्चित् अहोभिः अध्वनः अन्ते अवसाने कुशः सरय्वाः
sp003-004940_RV_16	कूलम् समासाद्य वितताध्वराणाम् विस्तृतमखानाम् रघूणाम्
sp003-004941_RV_16	वेदिः प्रतिष्ठा आस्पदम् येषाम् तान्
sp003-004942_RV_16	यूपान् शतशः अपश्यत्
sp003-004943_RV_16	आधूयेति
sp003-004944_RV_16	कुलराजधान्याः उपवनान्तवायुः कुसुमद्रुमाणाम् शाखाः आधूय ईषत् धूत्वा
sp003-004945_RV_16	सुरभिः मन्दश्च इत्यर्थः
sp003-004946_RV_16	शीतान् सरयूतरङ्गांश्च स्पृष्ट्वा
sp003-004947_RV_16	अनेन शैत्योक्तिः
sp003-004948_RV_16	क्लान्तसैन्यम् तम् कुशम् प्रत्युज्जगाम
sp003-004949_RV_16	अथेति
sp003-004950_RV_16	अथ रिपुषु मग्नम् शल्यम् शङ्कुः शरः वा यस्य सः
sp003-004951_RV_16	शल्यम् शङ्कौ शरे वंशे इति विश्वः
sp003-004952_RV_16	पौराणाम् सखा पौरसखः कुलस्य ध्वजः चिह्नभूतः बली सः राजा चलाः चलन्तः वा ध्वजाः
sp003-004953_RV_16	येषाम् तानि तानि बलानि सैन्यानि तस्याः पुरः पुर्याः उपशल्ये ग्रामान्ते
sp003-004954_RV_16	ग्रामान्त उपशल्यम् स्यात् इत्यमरः
sp003-004955_RV_16	निवेशयामास
sp003-004956_RV_16	तामिति
sp003-004957_RV_16	प्रभुणा नियुक्ताः शिल्पिनाम् तक्षादीनाम् सङ्घाः सम्भृतसाधनत्वात् मिलितोपकरणत्वात् ताम् तथागताम्
sp003-004958_RV_16	शून्याम् इत्यर्थः
sp003-004959_RV_16	पुरम् अयोध्याम्
sp003-004960_RV_16	मेघाः अपाम् विसर्गात् जलसेकात् निदाघग्लपिताम् ग्रीष्मतप्ताम् उर्वीम् इव
sp003-004961_RV_16	नवीचक्रुः परिपूरयाञ्चक्रुः
sp003-004962_RV_16	तत इति
sp003-004963_RV_16	ततः रघुप्रवीरः कुशः प्रतिमाः देवताप्रतिकृतयः
sp003-004964_RV_16	अर्च्याः इत्यर्थः
sp003-004965_RV_16	परार्घ्यप्रतिमागृहायाः प्रशस्तदेवतायतनायायाः पुरः उपोषितैः वास्तुविधानविद्भिः प्रयोज्यैः
sp003-004966_RV_16	पशुपहारैः सहिताम् सपशूपहाराम् सपर्याम् निर्वर्तयामास कारयामास
sp003-004967_RV_16	अत्र ण्यन्तात् णिच्पुनः इत्यनुसन्धेयम्
sp003-004968_RV_16	अन्यथा वृत्तेः अकर्मकस्य करोत्यर्थत्वे कारयत्यर्थाभावप्रसङ्घात्
sp003-004969_RV_16	भवितव्यम् वृतेः अण्यन्तकर्त्रा प्रयोज्यत्वेन तन्निर्देशात् प्रयोगान्तरस्य अपेक्षितत्वात्
sp003-004970_RV_16	तस्या इति
sp003-004971_RV_16	सः कुशः तस्याः पुरः सम्बन्धि राजोपपदम् राजशब्दपूर्वम् निशान्तम्
sp003-004972_RV_16	राजभवनम् इत्यर्थः
sp003-004973_RV_16	निशान्तम् भवनोषसोः इति विश्वः
sp003-004974_RV_16	कामी कान्ताहृदयमिव प्रविश्य
sp003-004975_RV_16	अन्यैः निशान्तैः अनुजीविलोकम् अमात्यादिकम् यथाप्रधानम् मान्यानुसारेण
sp003-004976_RV_16	यथार्हम् यथोचितम्
sp003-004977_RV_16	तत्तत् उचितगृहैः इत्यर्थः
sp003-004978_RV_16	सम्भावयामास
sp003-004979_RV_16	सेति
sp003-004980_RV_16	विपणिस्थानि पण्यानि क्रयविक्रयार्हवस्तूनि यस्याः सा
sp003-004981_RV_16	विपणिः पण्यवीथिका इत्यमरः
sp003-004982_RV_16	सा पूः अयोध्या मन्दुरासंश्रयिभिः अश्वशालासंश्रयणशीलैः
sp003-004983_RV_16	वाजिशाला तु मन्दुरा इत्यमरः
sp003-004984_RV_16	जिदृक्षि इत्यादिना इनिप्रत्ययः
sp003-004985_RV_16	तुरङ्गैः अश्वैः
sp003-004986_RV_16	शालासु गृहेषु ये विधिना स्थापिताः स्तम्भाः तान् गतैः प्राप्तैः नागैश्च
sp003-004987_RV_16	सर्वाङ्गेषु नद्धानि आभरणानि यस्याः सा नारी इव
sp003-004988_RV_16	आबभासे
sp003-004989_RV_16	वसन्निति
sp003-004990_RV_16	सः मैथिलेयः कुशः पुराणशोभाम् पूर्वशोभाम् अधिरोपितायाम् तस्याम् रघूणाम् वसतौ अयोध्यायाम् वसन्
sp003-004991_RV_16	दिवः भर्त्रे देवेन्द्राय तथा अलकेश्वराय कुबेरायापि न स्पृहयाम्बभूव
sp003-004992_RV_16	तावपि न गणयामास इत्यर्थः
sp003-004993_RV_16	स्पृहेः ईप्सितः इति सम्प्रदानत्वात् चतुर्थी
sp003-004994_RV_16	एतेना अयोध्यायाः अन्यनगरातिशायित्वम् गम्यते
sp003-004995_RV_16	कुशस्य कुमुद्वतीसङ्गमम् प्रस्तौति
sp003-004996_RV_16	अथेति
sp003-004997_RV_16	अथ अस्य कुशस्य
sp003-004998_RV_16	रत्नैः मुक्तामणिभिः ग्रथितानि उत्तरीयाणि यस्मिन् तम्
sp003-004999_RV_16	एकान्तम् अत्यन्तम् पाण्ड्वोः स्तनयोः लम्बिनः हाराः यस्मिन् तम्
sp003-005000_RV_16	निःश्वासहार्याणि अतिसूक्ष्माणि अंशुकानि यत्र तम्
sp003-005001_RV_16	एवम् शीतलप्रायम् प्रियायाः वेषम् नेपथ्यम् उपदेष्टुमिव घर्मः ग्रीष्मः आजगाम
sp003-005002_RV_16	अगस्त्येति
sp003-005003_RV_16	अगस्त्यः चिह्नम् यस्य तस्मात् अयनात् मार्गात् दक्षिणायनात् भास्वति समीपम् सन्निवृत्ते सति
sp003-005004_RV_16	उत्तरा दिक्
sp003-005005_RV_16	आनन्दशीताम् बाष्पवृष्टिम् इव
sp003-005006_RV_16	हैमवतीम् हिमवत्सम्बन्धिनीम् हिमस्रुतिम् हिमनिष्यन्दम् ससर्ज
sp003-005007_RV_16	अत्र प्रोषितप्रियासमागमसमाधिः गम्यते
sp003-005008_RV_16	प्रवृद्धेति
sp003-005009_RV_16	अतिमात्रम् प्रवृद्धतापः दिवसः
sp003-005010_RV_16	अत्यर्थमेव अनल्पम् तन्वी कृशा क्षणदा च इत्येतौ उभौ
sp003-005011_RV_16	विरोधक्रियया प्रणयकलहादिना विरोधाचरणेन विभिन्नौ सानुशयौ
sp003-005012_RV_16	सानुतापौ जायापती दम्पती इव आस्ताम्
sp003-005013_RV_16	तयोरपि तापकार्श्यसम्भवात् तत्सदृशौ अभूताम् इत्यर्थः
sp003-005014_RV_16	दिने दिन इति
sp003-005015_RV_16	दिने दिने प्रतिदिनम् शैवलवन्ति अधस्तात् यानि सोपानानाम् पर्वाणि भङ्ग्यः तानि विमुञ्चत्
sp003-005016_RV_16	अत एव उद्दण्डपद्यम् गृहदीर्घिकाणाम् अम्भः
sp003-005017_RV_16	नारीनितम्बः प्रमाणम् अस्य नारीनितम्बद्वयसम् बभूव
sp003-005018_RV_16	विहारयोग्यम् अभूदित्यर्थः
sp003-005019_RV_16	प्रमाणे द्वयसच् इति द्वयसच्प्रत्ययः
sp003-005020_RV_16	वनेष्विति
sp003-005021_RV_16	वनेषु विजृम्भणेन विकासेन उद्गन्धिषु उत्कटसौरभेषु
sp003-005022_RV_16	गन्धस्य इत्यादिना समासान्तः इकारादेशः
sp003-005023_RV_16	सायन्तनमल्लिकानाम् कुड्मलेषु सशब्दम् यथा तथा प्रत्येकम् एकैकस्मिन् निक्षिप्तपदः
sp003-005024_RV_16	मकरन्दलोभात् इत्यर्थः
sp003-005025_RV_16	भ्रमरः एषाम् कुड्मलानाम् सङ्ख्याम् गणनाम् चकार इव
sp003-005026_RV_16	स्वेदेति
sp003-005027_RV_16	स्वेदानुविद्धम् आर्द्रम् नूतनम् नखक्षतम् अङ्कः यस्य तस्मिन्
sp003-005028_RV_16	कामिनीनाम् कपोले भूयिष्ठम् अत्यर्थम् सन्दष्टशिखम् विश्लिष्टकेसरम्
sp003-005029_RV_16	अत एव कर्णात् च्युतमपि शिरीषपुष्पम् सहसा न पपात
sp003-005030_RV_16	यन्त्रेति
sp003-005031_RV_16	ऋद्धिमन्तः धनिकाः धारागृहेषु यन्त्रधारागृहेषु शिशिरैः यन्त्रप्रवाहैः यन्त्रसञ्चारितसलिलपूरैः
sp003-005032_RV_16	परीतान् व्याप्तान् मलयोद्भवस्य रसेन चन्दनोदकेन धौतान् क्षालितान् शिलाविशेषान्
sp003-005033_RV_16	मणिमयासनानि अधिशय्य तेषु शयित्वा आतपम् निन्युः आतपपरिहारम् चक्रुः
sp003-005034_RV_16	स्नानेति
sp003-005035_RV_16	वसन्तस्य आत्मसहकारिणः अत्ययेन अतिक्रमेण मन्दवीर्यः अतिदुर्बलः कामः स्नानार्द्राश्च ते मुक्ताश्च
sp003-005036_RV_16	धूपसञ्चारणार्थम् इत्यर्थः
sp003-005037_RV_16	तेषु
sp003-005038_RV_16	अनुधूपवासम् धूपवासानन्तरम् विन्यस्ताः सायन्तनमल्लिकाः येषु तेषु
sp003-005039_RV_16	अङ्गनानाम् केशेषु बलम् लेभे
sp003-005040_RV_16	तैः उद्दीपितः इत्यर्थः
sp003-005041_RV_16	आपिञ्जरेति
sp003-005042_RV_16	बद्धरजःकणत्वात् याप्तरजःकणत्वात् आपिञ्जरा उदारा द्राघीयसी अर्जुनस्य ककुभवृक्षस्य
sp003-005043_RV_16	इन्द्रद्रुः ककुभोऽर्जुनः इत्यमरः
sp003-005044_RV_16	मञ्जरी
sp003-005045_RV_16	देहम् दग्ध्वापि रोषत् गिरिशेन गिरिः अस्ति अस्य निवासत्वेन गिरिशः तेन
