sp010-000001_SR_01	समर्थः स्वामी रामदासः
sp010-000796_SR_27	ध्वस्यन्ते मन्दिराण्येषाम् खण्ड्यन्ते देवमूर्तयः
sp010-000797_SR_27	म्लेच्छा भवन्ति राजानो दाम्भिका गुरवोऽर्थिनः
sp010-000798_SR_27	लोकान्यलोकयोर्वार्ता कीदृशी पशवः समे
sp010-000799_SR_27	अन्याया जायमानाः सन्ति
sp010-000800_SR_27	किन्तु विस्मयकृदिदम् यज्जनाः विरोधाय सङ्घटनसन्नाहिनो न दृश्यन्ते
sp010-000801_SR_27	सर्वेऽपि मेषा बर्करा इव वा नतग्रीवा दृश्यन्ते
sp010-000802_SR_27	अकर्मण्याः समे
sp010-000803_SR_27	शौर्यम् वीर्यम् च न दृश्यते क्वापि
sp010-000804_SR_27	युद्धसन्नाहिनोऽपि दृश्यन्ते किन्तु क्षुद्रेभ्यः स्वार्थेभ्य आत्मीयैर्जनैः न तु शत्रुभिः
sp010-000805_SR_27	रामदास उत्तरस्याम् दिशि यथा यथाऽग्रे गच्छति यवनपरितापगाथा अधिकाधिकम् शृणोति
sp010-000806_SR_27	नितान्तम् भयानकानि चित्राणि प्रस्तूयन्ते
sp010-000807_SR_27	यदा पुनरयोध्याम् प्राप्तस्तस्य दुःखम् सीमानमत्यक्रामत्
sp010-000808_SR_27	तत्र दृष्टम् रामजन्मभूमिर्यवनैरधिगृहीतेति
sp010-000809_SR_27	ते तत्राधिकम् वस्तुम् न शेकुः
sp010-000810_SR_27	ततः काशीम् प्राप्ताः
sp010-000811_SR_27	एकदा गङ्गाम् स्नातुम् गच्छन् स आरावानशृणोत्
sp010-000812_SR_27	आगता आगता पलायध्वम् पलायध्वमिति
sp010-000813_SR_27	कोलाहल उत्थितः
sp010-000814_SR_27	जना व्याकुलीभावेन यत्र तत्र धावन्ति
sp010-000815_SR_27	विंशतिः यवनाश्ववाराः आगताः
sp010-000816_SR_27	यत्किमपि ग्रहीतुम् शक्यमासीत् तद् दस्युवृत्त्या सङ्गृह्णन्तस्ते पलायिता अपरया दिशा
sp010-000817_SR_27	रामदासश्चिन्तयति कुत इयती भीरुताऽस्माकम् देशे
sp010-000818_SR_27	प्रह्लादो ध्रुवश्चापि बालौ भूत्वाऽपि घोरम् सङ्कटम् सोढ्वा स्वम् लक्ष्यम् प्राप्नुताम्
sp010-000819_SR_27	अत्र पुनराबालवृद्धाः समेऽपि पलायनकेवलिनः
sp010-000820_SR_27	येऽपि केचित् सम्पन्ना सम्भृतवीर्याश्च तेऽपि यवनशासनस्य सेवकाः
sp010-000821_SR_27	क्रीतदासा इव ते यवनानाम्
sp010-000822_SR_27	स्वयम् पूजापाठपरायणाः ग्रन्थपाठिनः कपाले प्रविशालम् तिलकम् धारयन्तोऽपि चरणेष्वानामयन्ति
sp010-000823_SR_27	शिरांस्येते गोभक्षकाणाम् मूर्तिध्वंसकानाञ्चाततायिनाम् यवनाधिकारिणाम्
sp010-000824_SR_27	तदाज्ञया स्वेषामेव बान्धवानाम् ग्रीवाः कर्त्तयन्ति
sp010-000825_SR_27	एषा भ्रष्टा मतिः कथमागताऽत्र शुचिनि वर्त्मनि
sp010-000826_SR_28	काशीदृश्यम् भयानकमासीत् यत्र भगवता विश्वनाथेनापि पलायनमकारि
sp010-000827_SR_28	तत्र यज्ज्ञानवापीनामकम् कूपम् तस्मिन् पलाय्य ब्रूडितः काशीविश्वेश्वरः
sp010-000828_SR_28	नन्दी पुनस्तथैव स्थितः
sp010-000829_SR_28	एकम् विशालम् मस्जिदम् मन्दिरस्यैव कलापूर्णास्ववशिष्टासु भित्तिषु निरमायि
sp010-000830_SR_28	अग्रतो मस्जिदम् पृष्ठतश्च मन्दिरम्
sp010-000831_SR_28	एकः शिवो मस्जिदस्य निम्नभागेऽपि पूज्यते
sp010-000832_SR_28	काश्यामेव बिन्दुमाधवमन्दिरम् मस्जिदतया गगनमचुम्बच्चतुर्भिरुत्थितैर्हस्तैः मीनारैः
sp010-000833_SR_28	एतत् सर्वम् दृष्ट्वा रामदासः कृष्णलीलाभूमिम् मथुरावृन्दावनम् गतः
sp010-000834_SR_28	तत्र नाश्रूयत वंशरवः श्रीकृष्णस्य
sp010-000835_SR_28	यच्चाश्रूयत तदेकमाक्रन्दनमेव
sp010-000836_SR_28	नितान्तम् दुःखितेन चित्तेन रामदासस्तीर्थयात्राम् कुरुते स्म
sp010-000837_SR_28	सर्वत्र भीरुतैव तेनान्वभावि
sp010-000838_SR_28	असहिष्णुत्वेनासावगृह्यत
sp010-000839_SR_28	क्षुभितः स स्वम् जनुर्निस्सारममंस्त
sp010-000840_SR_28	तेन निरचायि स्वम् देहम् गङ्गायाम् पातयितुम्
sp010-000841_SR_28	यात्राप्रसङ्गेन च हिमाचलम् प्राप
sp010-000842_SR_28	तत्रोच्चस्तरे शृङ्गे स्थितोऽसौ अधोभागे सकलकले गङ्गाप्रवाहे कूर्द्दितुमियेष
sp010-000843_SR_28	प्रथमम् स गङ्गामातरम् प्रणनाम
sp010-000844_SR_28	अथ यतितुम् ऐच्छत् कूर्दितुम् किन्तु पृष्ठतः केनाऽपि धृतस्तस्य करः
sp010-000845_SR_28	स पृष्ठतः करोति मुखम् पश्यति च नीलोत्पलश्यामम् भगवन्तम् श्रीरामम्
sp010-000846_SR_28	रामदासस्तस्य प्रभोश्चरणौ जग्राह
sp010-000847_SR_28	रामोऽप्युत्थाप्य तमालिलिङ्ग उरसा
sp010-000848_SR_28	अथादिदेश मस्तके निहितहस्तः अवशिष्यत इदानीम् तव कार्यम्
sp010-000849_SR_28	महत्त्वपूर्णम् च तत्
sp010-000850_SR_28	त्वया हि देशस्य दुरवस्था समाप्तिदिशम् प्रत्युन्मुखा विधेया
sp010-000851_SR_28	दक्षिणापथम् याहि पवित्रायाः कृष्णायास्तटे जनजागरणाम् प्रारभस्व हिन्दुसङ्घटनमत्राभ्यर्हितम्
sp010-000852_SR_28	तदप्याद्रियताम्
sp010-000853_SR_28	रामदासो लावण्यपरिवीताम् ताम् मेघश्यामाम् मूर्तिम् विशालतरताम् विशालतमताम् च श्रयन्तीमपश्यत्
sp010-000854_SR_28	अन्ते पश्यति यत् सैषा मूर्तिराकाशम् पर्यरभताभवच्च परोक्षा
sp010-000855_SR_28	रामदासः सर्वत्र राममेवैकम् पश्यति
sp010-000856_SR_28	साञ्जलिबन्धम् स प्रोवाच प्रभो ऐषिषमहम् भवत आदेशम् दिङ्निर्देशमकाङ्क्षम्
sp010-000857_SR_28	अधुना भवन्तो द्रक्ष्यन्ति भवताम् जयकारेण महाराष्ट्रमाप्लावितम् भविष्यति कार्त्स्न्येन
sp010-000858_SR_28	रामः सदा सर्वदा सन्निकृष्टः मनाग् वीक्षते भक्तधैर्यम् कदाचित्
sp010-000859_SR_28	सदानन्द आनन्दकैवल्यदाता उपेक्षस्व नो रामदासम् कदाचित्
sp010-000860_SR_28	जय जय रघुवीर समर्थ
sp010-000861_SR_29	मातृदर्शनम्
sp010-000862_SR_29	द्वादशवर्षाणि व्यतीतानि
sp010-000863_SR_29	अथ भूयोऽपि प्रियो नारायणो रामदासो भूत्वा महाराष्ट्रम् प्रतिप्राप्तः
sp010-000864_SR_29	ताप्ती सरितस्तटम् प्राप्तः
sp010-000865_SR_29	भगवत्या मुक्तादेव्याः समाधिस्थले भजनपूजनोपदेशाः कृताः
sp010-000866_SR_29	श्रोतृष्वासीदेको रामदासग्रामवास्यपि
sp010-000867_SR_29	स नारायणम् प्रत्यभिज्ञाय नितान्तम् प्रहृष्टो रामदासमब्रूत
sp010-000868_SR_29	मातस्तव नितान्तम् वृद्धा अशक्ता च जाता
sp010-000869_SR_29	सा भवन्तमनुक्षणम् स्मरति
sp010-000870_SR_29	सप्ताहान्ते रामदासः स्वम् गृहग्रामम् प्राप्तः
sp010-000871_SR_29	स्वकीयस्य गृहस्य द्वारि स्थितो रामदासस्तारमूचे जय जय रघुवीर समर्थ इति
sp010-000872_SR_29	रामदासाग्रजस्य श्रेष्ठस्य पत्नी भिक्षाम् गृहीत्वा द्वारि प्राप्ता
sp010-000873_SR_29	तस्याश्चरणयो रजांसि मस्तके तिलकीकृत्य रामदासोऽब्रूत
sp010-000874_SR_29	भ्रातृजाये अहम् नारायणोऽस्मि तुभ्यम् प्रणमामि अम्बा क्वास्त इति
sp010-000875_SR_29	तम् चिरपरिचितम् हृदयस्पृशम् स्वरम् राणूदेवी अभिज्ञातवती
sp010-000876_SR_29	गतेभ्यश्चतुर्विंशतेर्वर्षेभ्यः सा प्रत्यहम् नारायणम् प्रतीक्षते स्म
sp010-000877_SR_29	यः कश्चनापि बहिर्देशादागतो यात्री लभ्यते तमसौ पृच्छति
sp010-000878_SR_29	अपि दृष्टः क्वचन मम नारायण इति
sp010-000879_SR_29	नारायणम् प्रतिप्राप्तुम् राणूदेव्या अनेका देवी देवताः पूजयितुम् सङ्कल्पिताः
sp010-000880_SR_29	अद्य तस्याः पुत्रः स्वयमेव गृहमागत इति हर्षातिरेकम् सा मातुम् हृदा नाऽशकत्
sp010-000881_SR_29	वृद्धावस्थामापद्यत सा
sp010-000882_SR_29	शरीरमशक्तम् जातमस्याः
sp010-000883_SR_29	अक्ष्णोः दृष्टिरपगता
sp010-000884_SR_29	द्रष्टुम् न चक्षमे
sp010-000885_SR_29	अथापि पुत्रस्य स्वरम् प्रत्यभिज्ञातवती सा नारायण मम नारायण इति ब्रुवती द्वारम् उपप्रेयाय
sp010-000886_SR_29	नारायणो मातुश्चरणावगृह्णात्
sp010-000887_SR_29	राणूदेवी तम् झटित्येवोदस्थापयत्
sp010-000888_SR_29	ग्रीवायाञ्चासञ्जयामास
sp010-000889_SR_29	आनन्दाश्रुभिः क्लिन्नाऽभूत् सा निरन्तरम् प्रवर्षद्भिः
sp010-000890_SR_29	बारम्बारम् सा रामदासस्य भालम् पृष्ठम् च पस्पर्श
sp010-000891_SR_29	उक्तवती च पुत्रक त्वम् कियद् परिवृद्धो जातः
sp010-000892_SR_29	सकूर्चस्त्वमिदानीम्
sp010-000893_SR_29	ऋषिरिवैव प्रतिभाससे त्वम् कच्चित्
sp010-000894_SR_29	श्रुतम् त्वमतीव सुन्दरम् भजनम् गायसि कीर्तनानि करोषि प्रवचनानि तनुषे इति
sp010-000895_SR_29	प्रसन्नताया अयम् विषयः
sp010-000896_SR_29	त्वत्सदृशम् भक्तम् पुत्रम् लब्ध्वाऽहमपि धन्या कृतकृत्या च जाता
sp010-000897_SR_29	अभविष्यदद्य यदि तव पिता जीवितः
sp010-000898_SR_29	पुत्र अहम् पञ्चभ्यो वर्षेभ्योऽन्धास्मि संवृत्ता
sp010-000899_SR_29	खिद्यामि त्वाम् प्रत्यक्षम् द्रष्टुमशक्नुवाना
sp010-000900_SR_29	उच्यते यद् रामदासेनोक्तम् नेदम् कठिनमिति
sp010-000901_SR_29	स मातुरक्ष्णोर्हस्तमक्रामयत
sp010-000902_SR_29	सा द्रष्टुमशकत् सर्वम्
sp010-000903_SR_29	दृष्टिमलभत सा
sp010-000904_SR_29	चर्मचक्षुर्भ्यामपि स्वम् पुत्रम् रामदासमाताऽपश्यद् अश्लाघयत च तस्याद्भुतम् योगसामर्थ्यम्
sp010-000905_SR_29	धन्यधन्या सा जाता
sp010-000906_SR_30	विद्वांसोऽत्र कथयन्ति रामदास औषधविज्ञानेऽप्यभून्नदीष्णः
sp010-000907_SR_30	तस्यैवेदम् फलमिति
sp010-000908_SR_30	अन्येऽत्र लक्षणामाश्रयन्तः प्रतिपद्यन्ते नेदम् राणूमातुश्चक्षुरुन्मीलनम्
sp010-000909_SR_30	इदम् हि भारतमातुरेव चक्षुषोरुन्मीलनम् रामदास विहितमिति
sp010-000910_SR_30	रामदासः स्वकीये ग्रामे त्रीण्येव दिनान्यतिष्ठत्
sp010-000911_SR_30	तत्र तेन भजनानि गीतानि कीर्त्तनानि कारितानि श्रावितानि च प्रवचनानि
sp010-000912_SR_30	पार्श्ववर्त्तिभ्यो ग्रामेभ्योऽपि जनास्तत्र समवयन्ति
sp010-000913_SR_30	सर्वेऽपि शिक्षिता रामदासेन रामभक्तौ मारुतिभक्तौ च बलम् लब्धुम् आत्मरक्षाम् च साधयितुम्
sp010-000914_SR_30	बाल्यकालमित्राणि नारायणस्य तेजःपुञ्जम् शरीरसामर्थ्यम् च दृष्ट्वा प्राहृष्यन्
sp010-000915_SR_30	ते सर्वे रामदासस्य शिष्या जाताः
sp010-000916_SR_30	राणूदेवी स्वम् बालकम् स्वीयाभ्यामेव हस्ताभ्यामाशयत्
sp010-000917_SR_30	अपाययत् ज्येष्ठो बन्धुः श्रेष्ठो गङ्गाधरोऽप्यत्यन्तमजीहृषत्
sp010-000918_SR_30	गृहे ग्रामे जनपदे च प्रहर्षलहर्यो ववुः
sp010-000919_SR_30	आनन्दपुष्पोद्यानमिवाऽत्र व्यकसत्
sp010-000920_SR_30	चतुर्थेन दिवसेन रामदासो यात्रायामग्रे प्रासरत् सर्वान् बन्धून् मातरम् चापृच्छ्य
sp010-000921_SR_30	प्रस्थितो रामदासो मात्रा राणूदेव्या निवेदितः पुत्र नावशिष्यते किमप्यभीष्टम् मे
sp010-000922_SR_30	किन्तु इयत् केवलमिच्छामि यत् मम अन्तकाल आगते एकदा भूयोऽपि माम् द्रष्टुमर्हतीति
sp010-000923_SR_30	मातः अवश्यमागमिष्यामि धावित्वाऽऽगमिष्यामि मातः आश्वस्ता भव इत्युक्तया
sp010-000924_SR_30	मात्रा विसृष्टो रामदासो भारतस्यान्यानपि प्रदेशान् द्रष्टुम् प्रतस्थे
sp010-000925_SR_30	प्रस्थानात् पूर्वम् स ग्रामवासिनः सर्वानेव कुशलमङ्गलम् पृष्टवान् मारुतिमन्दिरम् च तम् दृष्टवान्
sp010-000926_SR_30	अनेके जातास्तत्र तस्य शिष्याः
sp010-000927_SR_30	तेन जाम्ब ग्रामे व्यायामशाला स्थापिता प्रेरिताश्च युवका बलवन्तो भवितुम्
sp010-000928_SR_30	अन्ते च प्रोक्तम् जय जय रघुवीर समर्थ अथाग्रे ससर्प
sp010-000929_SR_30	रामभक्त्यान्दोलनम्
sp010-000930_SR_30	उत्तरे भारते स्थाने स्थाने रामदासस्वामिभिर्हनुमन्मन्दिराणि स्थापितानि मठाः स्थापिताः मठाधिपतयश्च
sp010-000931_SR_30	काश्याम् भगवन्तम् रामचन्द्रम् स्थापयामास सः प्रयागे वेणीमाधवम् अन्तर्वेद्याम् रामकृष्णौ
sp010-000932_SR_30	उज्जयिन्याम् जगन्नाथम् जगन्नाथपुर्याम् पद्मनाभम् प्रत्यस्थापयत् सः
sp010-000933_SR_30	जगन्नाथपुरीतस्ते रामेश्वरधाम गताः
sp010-000934_SR_30	ततः परम् धारवार मैसूर वङ्गलूर वेलगाँवान् अधितिष्ठन्तस्ते पण्ढरपुरम् प्रापुः
sp010-000935_SR_30	तत्र स कटिहस्तम् भगवन्तम् विट्ठलम् ददर्श
sp010-000936_SR_30	हस्तौ समानीय रामदासस्तस्य प्रमुखे तस्थिवान्
sp010-000937_SR_30	स तुलसीदासो मथुरायाम् भगवन्तम् मुरलीधरमिव ययाचे
sp010-000938_SR_31	वीरमुकुटमणिरब्दश्याम कथमिह तिष्ठसि हे श्रीराम
sp010-000939_SR_31	धनुःशरौ किम् त्यक्तौ राम
sp010-000940_SR_31	किमसि कटिधृतकर इह राम
sp010-000941_SR_31	कुत्र गता नः सीता माता अत्र कथम् ननु सा रघुमाता
sp010-000942_SR_31	कथम् वानरास्त्वया विसृष्टाः कथम् पण्ढरे पुरेऽधिवासी सरयूगङ्गे अपि समुत्तमे
sp010-000943_SR_31	कथमिह चन्द्रभागया आकृष्टः हिंसाताण्डवमस्ति प्रसृतम् रक्षो अत्याचारः प्रथितः
sp010-000944_SR_31	धर्मम् कोऽपि न वेत्त्यधर्मो विगतभयः प्रविराजति
sp010-000945_SR_31	कथमेषाम् दमने न ते स्पृहा
sp010-000946_SR_31	त्यक्तौ धनुःशरौ कथमस्मिन् कलौ कराले प्रसृते वीरोचितमाचर प्रभो त्वम् रामदास इति वृणुते
sp010-000947_SR_31	कथ्यते तस्मिन्नेव क्षणे विट्ठलदेवः करयोः धनुर्बाणौ आविरभावयत्
sp010-000948_SR_31	रामरूपम् धृत्वा च रामदासाय दर्शनम् दत्तवान्
sp010-000949_SR_31	तस्य चरणौ वन्दित्वा रामदासो जय जय रघुवीर समर्थ इति ब्रुवन् अग्रे ससार
sp010-000950_SR_31	अनुगोदावरीतीरम् गच्छन् रामदासः पैठणम् प्राप
sp010-000951_SR_31	स नगरे भ्रमते स्म
sp010-000952_SR_31	तेन दृष्टाः केचन बालका गोफणेन गिद्धम् वेद्धुम् लक्ष्यमकुर्वन् असकृत् ते गोफणेन गोलकलोष्ठान् क्षिपन्ति
sp010-000953_SR_31	किन्तु लक्ष्यम् व्यद्धुम् सफला न भवन्ति
sp010-000954_SR_31	रामदासेन गोफणम् बालेभ्यो गृहीतम्
sp010-000955_SR_31	चालिता च गुलिका
sp010-000956_SR_31	विद्धम् च लक्ष्यम्
sp010-000957_SR_31	विद्धो गृद्ध्रो भूमौ निपपात
sp010-000958_SR_31	एतद् दृष्ट्वा जनाः कथयन्ति घोरः कलिकाल आगतः सन्न्यासी भवन्नपि कश्चिदाखेटम् कुरुत इति
sp010-000959_SR_31	कीदृश एष साधुः
sp010-000960_SR_32	प्रायश्चित्तमनेन करणीयम् इति
sp010-000961_SR_32	रामदासः प्राब्रूत विज्ञा भवन्तो यदादिशेयुः तत् कर्तुम् सन्नद्धोऽहमिति
sp010-000962_SR_32	पण्डिता आगताः
sp010-000963_SR_32	होमहवनादिकम् जातम्
sp010-000964_SR_32	मन्त्रजपोऽपि सम्पन्नः
sp010-000965_SR_32	ब्राह्मणेभ्यो दक्षिणाद्रव्यमपि यथेष्टम् दत्तम्
sp010-000966_SR_32	ब्राह्मणा दक्षिणाम् गृहीत्वा यदा गन्तुम् प्रवृत्तास्तदा रामदासः तानाकारयत् क्व वा गम्यते कार्यम् तु न सम्पन्नम्
sp010-000967_SR_32	गृद्ध्रस्तु तत्रैव तथैव पतितो दृश्यते इति
sp010-000968_SR_32	एकः पण्डितो ब्रूते निष्प्राणः सः
sp010-000969_SR_32	स तथैव स्थास्यति
sp010-000970_SR_32	स्वामी कथयति यद्येवम् तर्हि भवताम् होमादिकम् सर्वम् व्यर्थम् जातम्
sp010-000971_SR_32	मिथ्यैव सर्वमिदम् मया भवद्भिरकारि इति
sp010-000972_SR_32	जनाः कथयन्ति कोऽर्थस्तवैतस्य कथनस्य किमिच्छति भवान् इति
sp010-000973_SR_32	रामदासो ब्रूते वाञ्छामि गृध्र एष जीवितो भूत्वा नभसि उड्डीयतामिति
sp010-000974_SR_32	प्रमुखः पण्डितोऽब्रूत कथमिदम् शक्यसम्भवमिति
sp010-000975_SR_32	रामदासः उक्तवान् इदमेवम् सम्भवतीति
sp010-000976_SR_32	रामदासः कमण्डलोर्जलम् करेणादाय गृध्रचञ्च्वाम् अपातयत्
sp010-000977_SR_32	गृध्रो जलमपिबत् पादाभ्याम् उदतिष्ठत् शनैश्च पक्षौ प्रासारयत् प्रोदडीयत च
sp010-000978_SR_32	सर्वे चकिताः
sp010-000979_SR_32	पण्डिताः स्वामिनम् प्रति नतमस्तका जाताः
sp010-000980_SR_32	अनेके जनाः स्वामिनः शिष्या जाताः
sp010-000981_SR_32	सर्वैः समवेतमूचे जय जय रघुवीर समर्थ इति
sp010-000982_SR_32	ते शीघ्रमेव नासिकम् प्रापुः
sp010-000983_SR_32	तैः द्वादशवार्षिक्याः तीर्थयात्रायाः विवरणम् भगवतो रामस्य पादयोरर्पितम्
sp010-000984_SR_32	ततः परम् ते टाकलीम् प्रापुः यत्रासीदेषामाश्रमः
sp010-000985_SR_32	उद्धव इदानीम् युवकः संवृत्तः
sp010-000986_SR_32	स चालितवान् टाकल्याश्रमस्य व्यवस्थाम् व्यवस्थिततया
sp010-000987_SR_32	दिक्षु चतसृष्वपि ख्यातिम् असौ अवाप
sp010-000988_SR_32	तत् सर्वम् दृष्ट्वा श्रुत्वा च रामदासः परमम् हर्षमवापत्
sp010-000989_SR_32	उद्धवम् आशीर्भिर्योजयित्वा रामदासो महाबलेश्वरम् प्राप
sp010-000990_SR_32	शरीरेण प्रांशुः मुद्रया तेजस्वी वृत्त्या वैराग्यमयः रामदासः स्वामी सदैव काषायम् धारयति
sp010-000991_SR_32	न स कमपि याचते दत्तम् वा केनापि गृह्णीते
sp010-000992_SR_32	वाचि प्रवाहः प्रभावश्चास्ताम्
sp010-000993_SR_32	कालप्रबोधः व्यवहारचातुर्यम् परोपकारः चेत्येते सद्गुणाः तेषु सहस्रगुणा इव सन्निविविशुः
sp010-000994_SR_32	यत्राप्यसौ प्राप्नोति तत्र रात्रौ सहस्रम् जनाः समवायन्
sp010-000995_SR_32	महाबलेश्वरी माहुली चेत्यादिषु स्थानेषु तेन हनुमन्मन्दिराणि अस्थापिषत
sp010-000996_SR_32	मठाः समस्थापिषत
sp010-000997_SR_32	युवका बालकाश्च दैनिके व्यायामे समुपादिश्यन्त स्वस्य धर्मस्य रक्षायै सङ्घटनायाः मार्गाः अदर्शिषत
