sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-001905_YS_41	ग्राह्यात्मकानाम् शब्दभावेन एकः परिणामः शब्दो विषयः इति
sp008-001906_YS_41	शब्दादीनाम् मूर्तिसमानजातीयानाम् एकः परिणामः पृथिवीपरमाणुः तन्मात्रावयवः
sp008-001907_YS_41	तेषाम् च एकः परिणामः पृथिवी गौः वृक्षः पर्वतः इत्येवमादिः भूतान्तरेष्वपि स्नेहौष्ण्य प्रणामित्वावकाशदानानि उपादाय सामान्यम् एकविकारारम्भः समाधेयः
sp008-001908_YS_41	नास्त्यर्थो विज्ञानविसहचरः अस्ति तु ज्ञानम् अर्थविसहचरः स्वप्नादौ कल्पितमिति
sp008-001909_YS_41	अनया दिशा ये वस्तुस्वरूपम् अपह्नुवते
sp008-001910_YS_41	ज्ञानपरिकल्पनामात्रम् वस्तु स्वप्नविषयोपमम् न परमार्थतो अस्तीति य आहुः
sp008-001911_YS_41	ते तथेति प्रत्युपस्थितमिदम् स्वमाहात्म्येन वस्तु कथम् अप्रमाणात्मकेन विकल्पज्ञानबलेन वस्तुस्वरूपम् उत्सृज्य
sp008-001912_YS_41	तदेव अपलपन्तः श्रद्धेयवचनाः स्युः
sp008-001913_YS_41	कुतश्च एतत् अन्याय्यम्
sp008-001914_YS_41	वस्तुसाम्ये चित्तभेदात्तयोर्विभक्तः पन्थाः
sp008-001915_YS_41	बहुचित्तावलम्बिनीभूतम् एकम् वस्तु साधारणम्
sp008-001916_YS_41	तत्खलु नैकचित्तपरिकल्पितम् नाप्यनेकचित्तपरिकल्पितम् किन्तु स्वप्रतिष्ठितम्
sp008-001917_YS_41	कथम् वस्तुसाम्ये चित्तभेदात्
sp008-001918_YS_41	धर्मापेक्षम् चित्तस्य वस्तुसाम्येऽपि सुखज्ञानम् भवति
sp008-001919_YS_41	अधर्मापेक्षम् तत एव दुःखज्ञानम्
sp008-001920_YS_41	अविद्यापेक्षम् तत एव मूढज्ञानम्
sp008-001921_YS_41	सम्यग्दर्शनापेक्षम् तत एव माध्यस्थ्यज्ञानम् इति
sp008-001922_YS_41	कस्य तच्चित्तेन परिकल्पितम्
sp008-001923_YS_41	न च अन्यचित्त परिकल्पितेन अर्थेन अन्यस्य चित्तोपरागो युक्तः
sp008-001924_YS_41	तस्मात् वस्तुज्ञानयोः ग्राह्यग्रहणभेदभिन्नयोः विभक्तः पन्थाः
sp008-001925_YS_41	नानयोः सङ्करगन्धोऽपि अस्तीति
sp008-001926_YS_41	साङ्ख्यपक्षे पुनर्वस्तु त्रिगुणम्
sp008-001927_YS_41	चलम् च गुणवृत्तमिति धर्मादिनिमित्तापेक्षम् चित्तैः अभिसम्बध्यते
sp008-001928_YS_41	निमित्तानुरूपस्य च प्रत्ययस्य उत्पद्यमानस्य तेन तेनात्मना हेतुर्भवति
sp008-001929_YS_42	केचिदाहुः ज्ञानसहभूरेव अर्थः भोग्यत्वात् सुखादिवत् इति
sp008-001930_YS_42	त एतया द्वारा साधारणत्वम् बाधमानाः पूर्वोत्तरेषु क्षणेषु वस्तुस्वरूपमेव अपह्नुवते
sp008-001931_YS_42	न चैकचित्ततन्त्रम् वस्तु तदप्रमाणकम् तदा किम् स्यात्
sp008-001932_YS_42	एकचित्ततन्त्रम् चेत् वस्तु स्यात् तदा चित्ते व्यग्रे निरुद्धे वा स्वरूपमेव तेन अपरामृष्टम् अन्यस्य अविषयीभूतम् अप्रमाणकम् अगृहीतस्वभावकम् केनचित् तदानीम् किम् तत्स्यात्
sp008-001933_YS_42	सम्बध्यमानम् च पुनः चित्तेन कुत उत्पद्येत
sp008-001934_YS_42	ये चास्य अनुपस्थिता भागाः ते चास्य न स्युः
sp008-001935_YS_42	एवम् नास्ति पृष्ठमिति उदरमपि न गृह्येत
sp008-001936_YS_42	तस्मात् स्वतन्त्रोऽर्थः सर्वपुरुषसाधारणः
sp008-001937_YS_42	स्वतन्त्राणि च चित्तानि प्रतिपुरुषम् प्रवर्तन्ते
sp008-001938_YS_42	तयोः सम्बन्धात् उपलब्धिः पुरुषस्य भोग इति
sp008-001939_YS_42	तदुपरागापेक्षत्वात् चित्तस्य वस्तु ज्ञाताज्ञातम्
sp008-001940_YS_42	अयस्कान्तमणिकल्पा विषयाः अयःसधर्मकम् चित्तम् अभिसम्बध्य उपरञ्जयन्ति
sp008-001941_YS_42	येन च विषयेण उपरक्तम् चित्तम् स विषयो ज्ञातः ततोऽन्यः पुनरज्ञातः
sp008-001942_YS_42	वस्तुनः ज्ञाताज्ञातस्वरूपत्वात् परिणामि चित्तम्
sp008-001943_YS_42	यस्य तु तदेव चित्तम् विषयः तस्य
sp008-001944_YS_42	सदा ज्ञाताश्चित्तवृत्तयस्तत्प्रभोः पुरुषस्यापरिणामित्वात्
sp008-001945_YS_42	यदि चित्तवत् प्रभुरपि पुरुषः परिणमेत ततः तद्विषयाः चित्तवृत्तयः शब्दादिविषयवत् ज्ञाताज्ञाताः स्युः
sp008-001946_YS_42	सदाज्ञातत्वम् तु मनसः तत्प्रभोः पुरुषस्य अपरिणामित्वम् अनुमापयति
sp008-001947_YS_42	स्यादाशङ्का चित्तमेव स्वाभासम् विषयाभासम् च वैनाशिकानाम् चित्तात्मवादिनाम् भविष्यति अग्निवत्
sp008-001948_YS_42	न तत्स्वाभासम् दृश्यत्वात्
sp008-001949_YS_42	यथा इतराणि इन्द्रियाणि शब्दादयश्च दृश्यत्वात् न स्वाभासानि तथा मनोऽपि प्रत्येतव्यम्
sp008-001950_YS_42	न च अग्निरत्र दृष्टान्तः
sp008-001951_YS_42	न ह्यग्निः आत्मस्वरूपम् अप्रकाशम् प्रकाशयति
sp008-001952_YS_42	प्रकाशश्च अयम् प्रकाश्यप्रकाशकसंयोगे दृष्टः
sp008-001953_YS_42	न च स्वरूपमात्रे अस्ति संयोगः
sp008-001954_YS_42	किम् च स्वाभासम् चित्तमिति अग्राह्यमेव कस्यचित् इति शब्दार्थः
sp008-001955_YS_42	तद्यथा स्वात्मप्रतिष्ठमाकाशम् न परप्रतिष्ठमित्यर्थः
sp008-001956_YS_42	स्वबुद्धिप्रचारप्रतिसंवेदनात् सत्त्वानाम् प्रवृत्तिः दृश्यते
sp008-001957_YS_42	क्रुद्धोऽहम् भीतोऽहम् अमुत्र मे रागः अमुत्र मे क्रोधः इति
sp008-001958_YS_42	एतत् स्वबुद्धेः अग्रहणे न युक्तमिति
sp008-001959_YS_42	एकसमये चोभयानवधारणम्
sp008-001960_YS_42	न च एकस्मिन् क्षणे स्वपररूपावधारणम् युक्तम्
sp008-001961_YS_42	क्षणिकवादिनः यद्भवनम् सा एव क्रिया
sp008-001962_YS_42	तदेव च कारकमिति अभ्युपगमः
sp008-001963_YS_42	स्यान्मतिः स्वरसनिरुद्धम् चित्तम् चित्तान्तरेण समनन्तरेण गृह्यत इति
sp008-001964_YS_42	चित्तान्तरदृश्ये बुद्धिबुद्धेरतिप्रसङ्गः स्मृतिसङ्करश्च
sp008-001965_YS_42	अथ चित्तम् चेत् चित्तान्तरेण गृह्येत बुद्धिबुद्धिः केन गृह्यते
sp008-001966_YS_42	सापि अन्यया सापि अन्यया इति अतिप्रसङ्गः
sp008-001967_YS_42	स्मृतिसङ्करश्च यावन्तो बुद्धिबुद्धीनाम् अनुभवाः तावत्यः स्मृतयः प्राप्नुवन्ति
sp008-001968_YS_42	तत्सङ्कराच्च एकस्मृत्यनवधारणम् च स्यात् इत्येवम् बुद्धिप्रतिसंवेदिनम् पुरुषम् अपलपद्भिः वैनाशिकैः सर्वमेव आकुलीकृतम्
sp008-001969_YS_42	ते तु भोक्तृस्वरूपम् यत्र क्वचन कल्पयन्तः न न्यायेन सङ्गच्छते
sp008-001970_YS_42	केचित् सत्त्वमात्रमपि परिकल्प्य अस्ति
sp008-001971_YS_42	स सत्त्वो यः एतान् पञ्च स्कन्धान् निक्षिप्य अन्यांश्च प्रतिसन्दधाति इत्युक्त्वा तत एव पुनः त्रस्यन्ति
sp008-001972_YS_42	तथा स्कन्धानाम् महानिर्वेदाय विरागाय अनुत्पादाय प्रशान्तये गुरुरन्तिके ब्रह्मचर्यम् चरिष्यामि इत्युक्त्वा सत्त्वस्य पुनः सत्त्वमेव अपह्नुवते
sp008-001973_YS_42	साङ्ख्ययोगादयस्तु प्रवादाः स्वशब्देन पुरुषमेव स्वामिनम् चित्तस्य भोक्तारम् उपयन्तीति
sp008-001974_YS_42	कथम् चितेरप्रतिसङ्क्रमायास्तदाकारापत्तौ स्वबुद्धिसंवेदनम्
sp008-001975_YS_43	अपरिणामिनी हि भोक्तृशक्तिः अप्रतिसङ्क्रमा च परिणामिन्यर्थे प्रतिसङ्क्रान्ता इव तद्वृत्तिम् अनुपतन्ति
sp008-001976_YS_43	तस्याश्च प्राप्तचैतन्योपग्रहस्वरूपायाः बुद्धिवृत्तेः अनुकार्यमात्रतया बुद्धिवृत्त्यविशिष्टा हि ज्ञानवृत्तिः आख्यायते
sp008-001977_YS_43	तथा चोक्तम्
sp008-001978_YS_43	न पातालम् न च विवरम् गिरीणाम् नैवान्धकारम् कुक्षयो नोदधीनाम्
sp008-001979_YS_43	गुहा यस्याम् निहितम् ब्रह्म शाश्वतम् बुद्धिवृत्तिमविशिष्टाम् कवयो वेदयन्ते इति
sp008-001980_YS_43	अतश्च एतदभ्युपगम्यते द्रष्टृदृश्योपरक्तम् चित्तम् सर्वार्थम्
sp008-001981_YS_43	मनो हि मन्तव्येन अर्थेन उपरक्तम्
sp008-001982_YS_43	तत् स्वयम् च विषयत्वात् विषयिणा पुरुषेण आत्मीयया वृत्त्या अभिसम्बद्धम्
sp008-001983_YS_43	तदेतत् चित्तमेव द्रष्टृदृश्योपरक्तम् विषयविषयिनिर्भासम् चेतनाचेतनस्वरूपापन्नम् विषयात्मकम् अपि अविषयात्मकम् इव अचेतनम् चेतनमिव स्फटिकमणिकल्पम् सर्वार्थम् इत्युच्यते
sp008-001984_YS_43	तदनेन चित्तसारूप्येण भ्रान्ताः केचित् तदेव चेतनम् इत्याहुः
sp008-001985_YS_43	अपरे चित्तमात्रमेव इदम् सर्वम् नास्ति खल्वयम् गवादिः घटादिश्च सकारुणो लोकः इति
sp008-001986_YS_43	अनुकम्पनीयाः ते
sp008-001987_YS_43	कस्मात् अस्ति हि तेषाम् भ्रान्तिबीजम् सर्वरूपाकारनिर्भासम् चित्तमिति
sp008-001988_YS_43	समाधिप्रज्ञायाम् प्रज्ञेयः अर्थः प्रतिबिम्बीभूतः तस्य आलम्बनीभूतत्वात् अन्यः
sp008-001989_YS_43	स चेदर्थः चित्तमात्रम् स्यात् कथम् प्रज्ञया एव प्रज्ञारूपम् अवधार्येत
sp008-001990_YS_43	तस्मात् प्रतिबिम्बीभूतः अर्थः प्रज्ञायाम् येन अवधार्यते सः पुरुष इति
sp008-001991_YS_43	एवम् ग्रहीतृग्रहणग्राह्यस्वरूपचित्तभेदात् त्रयमपि एतज्जातितः प्रविभजन्ते
sp008-001992_YS_43	ते सम्यग्दर्शिनः तैः अधिगतः पुरुषः इति
sp008-001993_YS_43	कुतश्चैतत् तदसङ्ख्येयवासनाचित्रमपि परार्थम् संहत्यकारित्वात्
sp008-001994_YS_43	तदेतत् चित्तम् असङ्ख्येयाभिः वासनाभिः एव चित्रीकृतमपि परार्थम् परस्य भोगापवर्गार्थम् न स्वार्थम् संहत्यकारित्वात् गृहवत्
sp008-001995_YS_43	संहत्यकारिणा चित्तेन न स्वार्थेन भवितव्यम्
sp008-001996_YS_43	न सुखचित्तम् सुखार्थम् न ज्ञानम् ज्ञानार्थम् उभयमपि एतत् परार्थम्
sp008-001997_YS_43	यश्च भोगेन अपवर्गेण च अर्थेन अर्थवान् पुरुषः
sp008-001998_YS_43	स एव परो न परः सामान्यमात्रम्
sp008-001999_YS_43	यत्तु किञ्चित्परम् सामान्यमात्रम् स्वरूपेण उदाहरेत् वैनाशिकः तत्सर्वम् संहत्यकारित्वात् परार्थमेव स्यात्
sp008-002000_YS_43	यस्त्वसौ परो विशेषः स न संहत्यकारी पुरुष इति
sp008-002001_YS_43	विशेषदर्शिन आत्मभाव भावनाविनिवृत्तिः
sp008-002002_YS_43	यथा प्रावृषि तृणाङ्कुरस्य उद्भेदेन तद्बीजसत्ता अनुमीयते तथा मोक्षमार्गश्रवणेन यस्य रोमहर्षाश्रुपातौ दृश्येते
sp008-002003_YS_43	तत्रापि अस्ति विशेषदर्शनबीजम् अपवर्गभागीयम् कर्माभिनिर्वर्तितम् इत्यनुमीयते
sp008-002004_YS_43	तस्य आत्मभावभावना स्वाभाविकी प्रवर्तते
sp008-002005_YS_43	यस्य अभावात् इदमुक्तम् स्वभावम् मुक्त्वा दोषात् येषाम् पूर्वपक्षे रुचिर्भवति अरुचिश्च निर्णये भवति
sp008-002006_YS_43	तत्र आत्मभावभावना कोऽहमासम् कथमहमासम्
sp008-002007_YS_43	किम् स्विदिदम् कथम् स्विदिदम् के भविष्यामः कथम् वा भविष्यामः इति
sp008-002008_YS_43	सा तु विशेषदर्शिनो निवर्तते
sp008-002009_YS_43	कुतः चित्तस्यैव एषः विचित्रः परिणामः
sp008-002010_YS_43	पुरुषस्तु असत्याम् अविद्यायाम् शुद्धः चित्तधर्मैः अपरामृष्टः इति
sp008-002011_YS_43	ततः अस्य आत्मभावभावना कुशलस्य निवर्तते इति
sp008-002012_YS_43	तदा विवेकनिम्नम् कैवल्यप्राग्भारम् चित्तम्
sp008-002013_YS_43	तदानीम् यदस्य चित्तम् विषयप्राग्भारम् अज्ञाननिम्नम् आसीत् तदस्य अन्यथा भवति
sp008-002014_YS_43	कैवल्यप्राग्भारम् विवेकजज्ञाननिम्नम् इति
sp008-002015_YS_43	तच्छिद्रेषु प्रत्ययान्तराणि संस्कारेभ्यः
sp008-002016_YS_43	प्रत्ययविवेकनिम्नस्य सत्त्वपुरुषान्यताख्यातिमात्रप्रवाहिनीः चित्तस्य तच्छिद्रेषु प्रत्ययान्तराणि अस्मीति वा ममेति वा जानामीति वा न जानामीति वा
sp008-002017_YS_43	कुतः क्षीयमानबीजेभ्यः पूर्वसंस्कारेभ्यः इति
sp008-002018_YS_43	हानमेषाम् क्लेशवदुक्तम्
sp008-002019_YS_43	यथा क्लेशाः दग्धबीजभावाः न प्ररोहसमर्थाः भवन्ति तथा ज्ञानाग्निना दग्धबीजभावः पूर्वसंस्कारो न प्रत्ययप्रसूः भवति
sp008-002020_YS_43	ज्ञानसंस्कारास्तु चित्ताधिकारसमाप्तिम् अनुशेरत इति न चिन्त्यन्ते
sp008-002021_YS_43	प्रसङ्ख्यानेऽप्यकुसीदस्य सर्वथा विवेकख्यातेर्धर्ममेघः समाधिः
sp008-002022_YS_43	यदा अयम् ब्राह्मणः प्रसङ्ख्यानेऽपि अकुसीदः ततोऽपि न किञ्चित् प्रार्थयते
sp008-002023_YS_43	तत्रापि विरक्तस्य सर्वथा विवेकख्यातिरेव भवतीति संस्कारबीजक्षयात् नास्य प्रत्ययान्तराणि उत्पद्यन्ते
sp008-002024_YS_43	तदा अस्य धर्ममेघो नाम समाधिः भवति
sp008-002025_YS_44	ततः क्लेशकर्मनिवृत्तिः
sp008-002026_YS_44	तल्लाभात् अविद्यादयः क्लेशाः समूलकाषम् कषिता भवन्ति
sp008-002027_YS_44	कुशलाकुशलाश्च कर्माशयाः समूलघातम् हता भवन्ति
sp008-002028_YS_44	क्लेशकर्मनिवृत्तौ जीवन्नेव विद्वान् विमुक्तो भवति
sp008-002029_YS_44	कस्मात् यस्मात् विपर्ययो भवस्य कारणम्
sp008-002030_YS_44	न हि क्षीणविपर्ययः कश्चित् केनचित् क्वचिच्च जातो दृश्यत इति
sp008-002031_YS_44	तदा सर्वावरणमलापेतस्य ज्ञानस्यानन्त्याज्ज्ञेयमल्पम्
sp008-002032_YS_44	सर्वैः क्लेशकर्मावरणैः विमुक्तस्य ज्ञानस्य आनन्त्यम् भवति
sp008-002033_YS_44	आवरकेण तमसाभिभूतम् आवृतज्ञानसत्त्वम् क्वचिदेव रजसा प्रवर्तितम् उद्घाटितम् ग्रहणसमर्थम् भवति
sp008-002034_YS_44	तत्र यदा सर्वैः आवरणमलैः अपगतम् अमलम् भवति तदा भवति अस्य आनन्त्यम्
sp008-002035_YS_44	ज्ञानस्य आनन्त्याज् ज्ञेयम् अल्पम् सम्पद्यते यथाकाशे खद्योतः
sp008-002036_YS_44	यत्रेदमुक्तम्
sp008-002037_YS_44	अन्धो मणिमविध्यत्तम् अनङ्गुलिरावयत्
sp008-002038_YS_44	अग्रीवस्तम् प्रत्यमुञ्चत् तमजिह्वोऽभ्यपूजयत् इति
sp008-002039_YS_44	ततः कृतार्थानाम् परिणामक्रम परिसमाप्तिर्गुणानाम्
sp008-002040_YS_44	तस्य धर्ममेघस्य उदयात् कृतार्थानाम् गुणानाम् परिणामक्रमः परिसमाप्यते
sp008-002041_YS_44	न हि कृतभोगापवर्गाः परिसमाप्तक्रमाः क्षणमपि अवस्थातुम् उत्सहन्ते
sp008-002042_YS_44	अथ कोऽयम् क्रमो नामेति
sp008-002043_YS_44	क्षणप्रतियोगी परिणामापरान्तनिर्ग्राह्यः क्रमः
sp008-002044_YS_44	क्षणानन्तर्यात्मा परिणामस्य अपरान्तेन अवसानेन गृह्यते क्रमः
sp008-002045_YS_44	न हि अननुभूतक्रमक्षणा नवस्य पुराणता वस्त्रस्यान्ते भवति
sp008-002046_YS_44	नित्येषु च क्रमो दृष्टः
sp008-002047_YS_44	द्वयी चेयम् नित्यता
sp008-002048_YS_44	कूटस्थनित्यता परिणामिनित्यता च
sp008-002049_YS_44	तत्र कूटस्थनित्यता पुरुषस्य परिणामिनित्यता गुणानाम्
sp008-002050_YS_45	यस्मिन् परिणम्यमाने तत्त्वम् न विहन्यते तन्नित्यम्
sp008-002051_YS_45	उभयस्य च तत्त्वानभिघातात् नित्यत्वम्
sp008-002052_YS_45	तत्र गुणधर्मेषु बुद्ध्यादिषु परिणामापरान्तनिर्ग्राह्यः क्रमः लब्धपर्यवसानः
sp008-002053_YS_45	नित्येषु धर्मिषु गुणेषु अलब्धपर्यवसानः
sp008-002054_YS_45	कूटस्थनित्येषु स्वरूपमात्रप्रतिष्ठेषु मुक्तपुरुषेषु स्वरूपास्तिता क्रमेणैव अनुभूयत इति तत्रापि अलब्धपर्यवसानः
sp008-002055_YS_45	शब्दपृष्ठेन अस्तिक्रियाम् उपादाय कल्पित इति
sp008-002056_YS_45	अथास्य संसारस्य स्थित्या गत्या च गुणेषु वर्तमानस्य अस्ति क्रमसमाप्तिर्न वेति अवचनीयम् एतत्
sp008-002057_YS_45	कथम् अस्ति प्रश्नः एकान्तवचनीयः सर्वो जातौ मरिष्यति ओम् भो इति
sp008-002058_YS_45	अथ सर्वो मृत्वा जनिष्यते इति
sp008-002059_YS_45	विभज्यवचनीयम् एतत्
sp008-002060_YS_45	प्रत्युदितख्यातिः क्षीणतृष्णः कुशलो न जनिष्यते इतरस्तु जनिष्यते
sp008-002061_YS_45	तथा मनुष्यजातिः श्रेयसी न वा श्रेयसी इत्येवम् परिपृष्टम् विभज्यवचनीयः प्रश्नः
sp008-002062_YS_45	पशून् उद्दिश्य श्रेयसी देवान् ऋषींश्च अधिकृत्य नेति
sp008-002063_YS_45	अयम् तु अवचनीयः प्रश्नः
sp008-002064_YS_45	संसारोऽयम् अन्तवान् अथ अनन्त इति
sp008-002065_YS_45	कुशलस्य अस्ति संसारक्रमसमाप्तिः नेतरस्य इति अन्यतरावधारणे अदोषः
sp008-002066_YS_45	तस्मात् व्याकरणीय एवायम् प्रश्नः इति
sp008-002067_YS_45	गुणाधिकारक्रमसमाप्तौ कैवल्यम् उक्तम्
sp008-002068_YS_45	तत्स्वरूपम् अवधार्यते
sp008-002069_YS_45	पुरुषार्थशून्यानाम् गुणानाम् प्रतिप्रसवः कैवल्यम् स्वरूपप्रतिष्ठा वा चितिशक्तिरिति
sp008-002070_YS_45	इति श्रीभगवत्पतञ्जलिविरचिते योगसूत्रे चतुर्थः कैवल्यपादः
sp008-002071_YS_45	कृतभोगापवर्गाणाम् पुरुषार्थशून्यानाम् यः प्रतिप्रसवः कार्यकारणात्मनाम् गुणानाम् तत्कैवल्यम्
sp008-002072_YS_45	स्वरूपप्रतिष्ठा पुनर्बुद्धिसत्त्वानभिसम्बन्धात् पुरुषस्य चितिशक्तिरेव केवला
sp008-002073_YS_45	तस्याः सदा तथैव अवस्थानम् कैवल्यमिति
sp008-002074_YS_45	इति श्रीपातञ्जले योगशास्त्रे साङ्ख्यप्रवचने कैवल्यपादः चतुर्थः
sp008-002075_YS_45	इति पातञ्जलयोगसूत्राणि
sp008-002076_Yugavatara_01	किन्तु अहो आश्चर्यम्
sp008-002077_Yugavatara_01	एतेन शिवराजः धृतिहीनः न अभवत्
sp008-002078_Yugavatara_01	यतः तस्य हृदयेन स्वातन्त्र्यदेव्याः पुण्यहस्तस्य अमृतस्पर्शः प्राप्तः आसीत्
sp008-002079_Yugavatara_01	आ शतशः वर्षेभ्यः वीराणाम् बलिदानस्य रक्तेन पवित्रितायाः तुलजाभवान्याः वरदहस्तः तस्य शिरसि आसीत्
sp008-002080_Yugavatara_01	भिन्नाः विग्रहाः छिन्नानि मङ्गलसूत्राणि च प्रतीकारार्थम् तम् आह्वयन्ति स्म
sp008-002081_Yugavatara_01	बालः शिवराजः यदा बिजापुरे आसीत् तदा प्रवृत्तौ उभौ मार्मिकप्रसङ्गौ
sp008-002082_Yugavatara_01	लोकगीतद्वारा जनमानसे चिरम् स्थिताम् तदानीन्तनमनःस्थितिम् वर्णयतः
sp008-002083_Yugavatara_01	एकदा शहाजिः पुत्रम् बिजापुरचक्रवर्तिनः आस्थानम् प्रति नीतवान्
sp008-002084_Yugavatara_01	तत्रत्यम् वैभवम् चक्रवर्तिनः दर्पः च वर्णनातीतौ आस्ताम्
sp008-002085_Yugavatara_01	चक्रवर्तिनः अधीनाः माण्डलिकाः राजानः गणनायकाः च सिंहासनस्य पुरतः गत्वा
sp008-002086_Yugavatara_01	त्रिवारम् कुर्नीसात् कृत्वा स्वस्थानम् गत्वा उपविशन्ति स्म
sp008-002087_Yugavatara_01	शहाजिराजस्य पर्यायः आगतः
sp008-002088_Yugavatara_01	सः अपि अन्यैः यथा कृतम् तथैव अकरोत्
sp008-002089_Yugavatara_01	अनन्तरम् सः पुत्रस्य हस्तम् गृहीत्वा अग्रे नीत्वा सिंहासनस्य पुरतः स्थगितवान्
sp008-002090_Yugavatara_01	पुत्रम् उद्दिश्य प्रीतिपूर्वकैः वचनैः वत्स शिव चक्रवर्तिनम् नमस्करोतु तावत् इति उक्तवान्
sp008-002091_Yugavatara_01	स्वस्य सेवार्थम् शहाजिः पुत्रम् आनीतवान् अस्ति इति ज्ञातवतः आदिलशाहस्य महान् आनन्दः
sp008-002092_Yugavatara_01	द्वादशवर्षीयम् तम् बालकम् सः मोहकः प्रसङ्गः अबोधयत्
sp008-002093_Yugavatara_01	हूँ नमस्करोतु
sp008-002094_Yugavatara_01	एषः भवतः जीवनस्य सुवर्णावसरः
sp008-002095_Yugavatara_01	सन्तुष्टः चक्रवर्ती भवते पारितोषिकम् दद्यात्
sp008-002096_Yugavatara_01	अग्रे भवान् दलपतिः अपि भवेत् इति
sp008-002097_Yugavatara_01	अपरस्मिन् क्षणे एव मनोगर्भात् अपरः ध्वनिः श्रुतः
sp008-002098_Yugavatara_01	क्षुद्रस्य परकीयस्य पुरतः भवान् किम् नतमस्तकः भवेत्
sp008-002099_Yugavatara_01	स्वस्य धर्मम् परम्पराम् च किम् भवान् विस्मृतवान्
sp008-002100_Yugavatara_01	जीजामात्रा उक्ताः रामकृष्णभीमाभिमन्युप्रभृतीनाम् कथाः स्मरतु
sp008-002101_Yugavatara_01	कस्मात् भयम् भवतः
sp008-002102_Yugavatara_01	आगच्छतु मम गगनचुम्बिनाम् दुर्भेद्यशिखराणाम् प्रणामान् स्वीकरोतु
sp008-002103_Yugavatara_01	मम उपत्यकासु अरण्येषु च भवतः पादधूलिः पततु
sp008-002104_Yugavatara_01	दास्यात् माम् मोचयतु
sp008-002105_Yugavatara_01	मम बाह्वोः आलिङ्गने स्वतन्त्रः सन् सार्वभौमः सम्राट् भूत्वा शोभताम्
sp008-002106_Yugavatara_01	माता भवानी सदा भवन्तम् पालयिष्यति इति
sp008-002107_Yugavatara_01	सः कस्य स्वरः
sp008-002108_Yugavatara_01	सह्याद्रेः गद्गदितात् अन्तःकरणात् निर्गतः सुपरिचितः स्वरः सः
sp008-002109_Yugavatara_01	शिवराजः कस्य वचनम् शृणुयात्
sp008-002110_Yugavatara_01	तस्मै जन्म दत्तवती मातृभूमिः स्वस्य भविष्यम् ज्ञातुम् उत्सुका आसीत्
sp008-002111_Yugavatara_01	शिवराजस्य नमनम् तुलजाभवान्याः पुरतः उत चक्रवर्तिनः सम्मुखे
sp008-002112_Yugavatara_01	स्वातन्त्र्यदेव्यै उत दास्यमोहिन्यै इति
sp008-002113_Yugavatara_01	सः स्वातन्त्र्यदेवीम् एव नन्तुम् इष्टवान् इत्यत्र कः सन्देहः
sp008-002114_Yugavatara_01	सिंहशावकः पर्युषितम् मांसम् खादन् पञ्जरे स्थातुम् इच्छति किम्
sp008-002115_Yugavatara_01	तत्रापि एतस्याः पावनभूम्याः स्वातन्त्र्यदेव्याः तपसः पुण्यफलेन जातः केसरी किम् तथा कुर्यात्
sp008-002116_Yugavatara_01	शिवराजः पदद्वयम् पृष्ठतः अनयत्
sp008-002117_Yugavatara_01	पुनश्च शहाजिः अनुनयपूर्वकम् अवदत् वत्स शीघ्रम् त्वर्यताम्
sp008-002118_Yugavatara_01	नमस्करोतु तम् इति
sp008-002119_Yugavatara_01	शिवराजः आश्चर्यचकितः सन् पितरम् अपश्यत्
sp008-002120_Yugavatara_01	पितः आवश्यकम् चेत् भवन्तम् नमामि
sp008-002121_Yugavatara_01	देवम् मातरम् च साष्टाङ्गम् प्रणमामि
sp008-002122_Yugavatara_01	किन्तु एतस्य वैदेशिकराजस्य नमस्कारः किमर्थम् करणीयः
sp008-002123_Yugavatara_01	मया एतत् कर्तुम् न शक्यते इति भावः तस्य मुखे स्फुटम् दृश्यते स्म
sp008-002124_Yugavatara_01	पिता अपि पुत्रस्य भावम् अवगतवान्
sp008-002125_Yugavatara_01	किन्तु सः निरुपायः आसीत्
sp008-002126_Yugavatara_01	शिवराजः स्वस्य उग्राम् दृष्टिम् चक्रवर्तिनः दिशि प्रसारितवान्
sp008-002127_Yugavatara_01	पापी नीचः अस्मद्देशस्य शत्रुः अस्मद्धर्मस्य वैरी च एषः
sp008-002128_Yugavatara_01	सकृत् लङ्घनेन एतम् किम् प्रहराणि
sp008-002129_Yugavatara_01	यथा श्रीकृष्णः उत्प्लुत्य सिंहासनस्थम् कंसम् पातयित्वा तस्य उरसि उपविष्टवान् आसीत्
sp008-002130_Yugavatara_01	तथा अहम् अपि करोमि किम् इति भावः तस्य मनसि आगतः
sp008-002131_Yugavatara_01	शिरः उन्नमय्य स्थितम् बालकम् दृष्ट्वा चक्रवर्ती शहाजिराज भवतु नाम
sp008-002132_Yugavatara_01	मुग्धस्य बालकस्य अनुरोधेन किम्
sp008-002133_Yugavatara_01	चिन्ता मास्तु
sp008-002134_Yugavatara_01	तम् नयतु इति उक्तवान्
sp008-002135_Yugavatara_01	शिरोनमनम् अकृत्वा सिंहगत्या तथैव गच्छन्तम् तम् बालम् दृष्ट्वा
sp008-002136_Yugavatara_01	तत्रत्याः जनाः सर्वे आश्चर्यचकिताः अभवन्
sp008-002137_Yugavatara_02	पिता पुत्रेण सह गृहम् प्रत्यागतवान्
