sp006-000001_GB_00-00	SANkaraBAzyam
sp006-001635_GB_05-07	jitendriyaH ca sarvaBUtAtmaBUtAtmA sarvezAm brahmAdInAm stambaparyantAnAm BUtAnAm AtmaBUta AtmA pratyakcetaso
sp006-001636_GB_05-07	yasya sa sarvaBUtAtmaBUtAtmA samyagdarSI ityarTaH
sp006-001637_GB_05-07	sa tatra evam vartamAno lokasaNgrahAya karma
sp006-001638_GB_05-07	na karmaBiH baDyate ityarTaH
sp006-001639_GB_05-08	na eva kiYcit karomIti yuktaH samAhitaH san manyeta cintayet
sp006-001640_GB_05-08	tattvavit Atmano yATAtmyam tattvam vettIti tattvavit paramArTadarSI ityarTaH
sp006-001641_GB_05-0809	manyeta iti pUrveRa sambanDaH
sp006-001642_GB_05-0809	yasya evam tattvavidaH sarvakAryakaraRacezwAsu karmasu akarma eva paSyataH samyagdarSinaH
sp006-001643_GB_05-0809	tasya sarvakarmasannyAse eva aDikAraH karmaRaH aBAvadarSanAt
sp006-001644_GB_05-0809	na hi mfgatfzRikAyAm udakabudDyA pAnAya pravftta udakavABAvajYAneऽpi tatra eva pAnaprayojanAya pravartate
sp006-001645_GB_05-10	brahmaRi ISvare ADAya nikzipya tadarTam karomi iti Bftya iva svAmyarTam sarvARi karmARi mokzeऽpi Pale
sp006-001646_GB_05-11	kAyena dehena manasA budDyA ca kevalEH mamatvavarjitEH ISvarAya eva karma karomi na mama PalAya iti mamatvabudDiSUnyEH
sp006-001647_GB_05-11	indriyEH api kevalaSabdaH kAyAdiBiH api pratyekam sambaDyate sarvavyApArezu mamatAvarjanAya
sp006-001648_GB_05-11	yoginaH karmiRaH karma kurvanti saNgam tyaktvA Palavizayam AtmaSudDaye sattvaSudDaye ityarTaH
sp006-001649_GB_05-11	tasmAt tatra eva tava aDikAra iti kuru karma eva
sp006-001650_GB_05-12	yukta ISvarAya karmARi na mama PalAya iti evam samAhitaH san
sp006-001651_GB_05-12	karmaPalam tyaktvA parityajya SAntim mokzAKyAm Apnoti
sp006-001652_GB_05-12	nEzWikIm nizWAyAm BavAm sattvaSudDijYAnaprAptisarvakarmasannyAsajYAnanizWAkrameRa iti vAkyaSezaH
sp006-001653_GB_05-12	yastu punaH ayuktaH asamAhitaH kAmakAreRa karaRam kAraH kAmasya kAraH kAmakAraH
sp006-001654_GB_05-12	tena kAmakAreRa kAmapreritatayA ityarTaH
sp006-001655_GB_05-12	mama PalAya idam karomi karma iti evam Pale sakto nibaDyate
sp006-001656_GB_05-12	ataH tvam yukto Bava ityarTaH
sp006-001657_GB_05-13	sarvARi karmARi sarvakarmARi sannyasya parityajya nityam nEmittikam kAmyam pratizidDam ca sarva karmARi tAni
sp006-001658_GB_05-13	manasA vivekabudDyA karmAdO akarmasandarSanena santyajya ityarTaH
sp006-001659_GB_05-13	Aste tizWati suKam
sp006-001660_GB_05-13	tyaktavANmanaHkAyacezwo nirAyAsaH prasannacittA AtmanaH anyatra
sp006-001661_GB_05-13	nivfttabAhyasarvaprayojana iti suKam Aste iti ucyate
sp006-001662_GB_05-13	vaSI jitendriya ityarTaH
sp006-001663_GB_05-13	kva kaTam Aste iti Aha navadvAre pure
sp006-001664_GB_05-13	sapta SIrzaRyAni Atmana upalabDidvArARi
sp006-001665_GB_05-13	arvAk dve mUtrapurIzavisargArTe tEH dvArEH navadvAram puram ucyate
sp006-001666_GB_05-13	SarIram puram iva puram AtmEkasvAmikam
sp006-001667_GB_05-13	tadarTaprayojanESca indriyamanobudDivizayEH anekaPalavijYAnasya utpAdakEH pOrEH iva aDizWitam
sp006-001668_GB_05-13	tasmin navadvAre pure dehI sarvam karma sannyasya Aste
sp006-001669_GB_05-13	kim viSezaRena
sp006-001670_GB_05-13	sarvo hi dehI sannyAsI asannyAsI vA dehe eva Aste tatra anarTakam viSezaRam iti
sp006-001671_GB_05-13	ucyate yastu ajYo dehI dehendriyasaNGAtamAtrAtmadarSI sa sarvo gehe BUmO Asane vA Ase iti manyate
sp006-001672_GB_05-13	na hi dehamAtrAtmadarSino gehe iva dehe Ase iti pratyayaH samBavati
sp006-001673_GB_05-13	dehAdisaNGAtavyatiriktAtmadarSinaH tu dehe Ase iti pratyaya upapadyate
sp006-001674_GB_05-13	parakarmaRAm ca parasmin Atmani avidyayA aDyAropitAnAm vidyayA vivekajYAnena manasA sannyAsa upapadyate
sp006-001675_GB_05-13	utpannavivekajYAnasya sarvakarmasannyAsinaH api gehe iva dehe eva navadvAre pure
sp006-001676_GB_05-13	Asanam prArabDaPalakarmasaMskAraSezAnuvfttyA dehe eva viSezavijYAnotpatteH
sp006-001677_GB_05-13	dehe eva Aste iti astyeva viSezaRaPalam vidvadavidvat pratyayaBedApekzatvAt
sp006-001678_GB_05-13	yadyapi kAryakaraRakarmARi avidyayA Atmani aDyAropitAni sannyasya Aste iti uktam
sp006-001679_GB_05-13	taTApi AtmasamavAyi tu kartftvam kArayitftvam ca syAt iti ASaNkya Aha
sp006-001680_GB_05-13	na eva kurvan svayam na kAryakaraRAni kArayan kriyAsu pravartayan
sp006-001681_GB_05-13	kim yat tat kartftvam kArayitftvam ca dehinaH svAtmasamavAyi sat sannyAsAt na Bavati
sp006-001682_GB_05-13	yaTA gacCato gatiH gamanavyApAraparityAge na syAt tadvat
sp006-001683_GB_05-13	kim vA svata eva Atmano nAstIti
sp006-001684_GB_05-13	atra ucyate nAsti AtmanaH svataH kartftvam kArayitftvam ca
sp006-001685_GB_05-13	bfhadAraRyaka upanizat catuH triH catuH iti ca SruteH
sp006-001686_GB_05-14	na kartftvam kuru iti na api karmARi raTaGawaprAsAdAdIni IpsitatamAni lokasya sfjati utpAdayati praBuH AtmA
sp006-001687_GB_05-14	nApi raTAdi kftavataH tatPalena saMyogam na karmaPalasaMyogam
sp006-001688_GB_05-14	yadi kiYcidapi svato na karoti na kArayati ca dehI
sp006-001689_GB_05-14	kaH tarhi kurvan kArayan ca pravartate iti ucyate
sp006-001690_GB_05-14	svaBAvastu svo BAvaH svaBAvaH avidyAlakzaRA prakftiH mAyA pravartate dEvI hi ityAdinA vakzyamARA
sp006-001691_GB_05-15	na Adatte na ca gfhRAti BaktasyApi kasyacit pApam
sp006-001692_GB_05-15	na ca eva Adatte sukftam BaktEH prayuktam viBuH
sp006-001693_GB_05-15	kimarTam tarhi BaktEH pUjAdilakzaRam yAgadAnahomAdikam ca sukftam prayujyate iti Aha
sp006-001694_GB_05-15	ajYAnena Avftam jYAnam vivekavijYAnam tena muhyanti
sp006-001695_GB_05-15	karomi kArayAmi Bokzye BojayAmi iti evam moham gacCanti avivekinaH saMsAriRo jantavaH
sp006-001696_GB_05-16	jYAnena tu yena ajYAnena AvftAH muhyanti jantavaH
sp006-001697_GB_05-16	tadajYAnam yezAm jantUnAm vivekajYAnena AtmavizayeRa nASitam Atmano Bavati tezAm Adityavat
sp006-001698_GB_05-16	yaTA AdityaH samastam rUpajAtam avaBAsayati tadvat
sp006-001699_GB_05-16	jYAnam jYeyam vastu sarvam prakASayati tat param paramArTatattvam
sp006-001700_GB_05-17	tasmin gatA budDiH yezAm te tadbudDayaH tadAtmAnaH tadeva param brahma AtmA yezAm te tadAtmAnaH
sp006-001701_GB_05-17	tannizWAH nizWA aBiniveSaH tAtparyam sarvARi karmARi sannyasya brahmaRI eva avasTAnam yezAm te tannizWAH
sp006-001702_GB_05-17	tatparAyaRAH ca tadeva param ayanam parA gatiH yezAm Bavati te tatparAyaRAH kevalAtmarataya ityarTaH
sp006-001703_GB_05-17	yezAm jYAnena nASitam AtmanaH ajYAnam te gacCanti evaMviDA apunarAvfttim apunardehasambanDaH
sp006-001704_GB_05-17	jYAnanirDUtakalmazA yaToktena jYAnena nirDUtA nASitaH kalmazaH pApAdisaMsArakAraRadozA yezAm te jYAnanirDUtakalmazA yataya ityarTaH
sp006-001705_GB_05-18	vidyAvinayasampanne vidyA ca vinayaSca vidyAvinayO
sp006-001706_GB_05-18	vidyA Atmano boDo vinaya upaSamaH
sp006-001707_GB_05-18	tAByAm vidyAvinayAByAm sampanno vidyAvinayasampanno vidvAn vinItaSca yo brAhmaRaH tasmin
sp006-001708_GB_05-18	vidyAvinayasampanne uttamasaMskAravati brAhmaRe sAttvike
sp006-001709_GB_05-18	maDyamAyAm ca rAjasyAm gavi saMskArahInAyAm atyantam eva kevalatAmase hastyAdO ca
sp006-001710_GB_05-18	sattvAdiguREH tajjESca saMskArEH taTA rAjasEH taTA tAmasESca saMskArEH
sp006-001711_GB_05-18	atyantam eva aspfzwam samam ekam avikriyam brahma drazwum SIlam yezAm te paRqitAH samadarSinaH
sp006-001712_GB_05-19	gOtamasmfti saptadaSa viMSati iti smfteH
sp006-001713_GB_05-19	na te dozavantaH kaTam
sp006-001714_GB_05-19	iha eva jIvadBiH eva tEH samadarSiBiH paRqitEH jito vaSIkftaH sargo janma
sp006-001715_GB_05-19	yezAm sAmye sarvaBUtezu brahmaRi samaBAve sTitam niScalIBUtam manaH antaHkaraRam
sp006-001716_GB_05-19	nirdozam yadyapi dozavatsu SvapAkAdizu mUQEH taddozEH dozavadiva viBAvyate
sp006-001717_GB_05-19	taTApi taddozEH aspfzwam iti nirdozam dozavarjitam hi yasmAt
sp006-001718_GB_05-19	nApi svaguRaBedaBinnam nirguRatvAt cEtanyasya
sp006-001719_GB_05-19	vakzyati ca BagavAn icCAdInAm kzetraDarmatvam
sp006-001720_GB_05-19	anAditvAt nirguRatvAt iti ca
sp006-001721_GB_05-19	nApi anyA viSezA Atmano BedakAH santi
sp006-001722_GB_05-19	pratiSarIram tezAm sattve pramARAnupapatteH
sp006-001723_GB_05-19	ataH samam brahma ekam ca
sp006-001724_GB_05-19	tasmAt brahmaRi eva te sTitAH
sp006-001725_GB_05-19	tasmAt na dozaganDamAtram api tAn spfSati
sp006-001726_GB_05-19	dehAdisaNGAtAtmadarSanABimAnABAvAt dehAdisaNGAtAtmadarSanABimAnavadvizayam tu tat sUtram
sp006-001727_GB_05-19	iti pUjAvizayatvaviSezaRAt
sp006-001728_GB_05-19	dfSyate hi brahmavit zaqaNgavit caturvedavit iti pUjAdAnAdO guRaviSezasambanDaH kAraRam
sp006-001729_GB_05-19	brahma tu sarvaguRadozasambanDavarjitam iti ato brahmaRi te sTitA iti yuktam
sp006-001730_GB_05-19	karmavizayam ca samAsamAByAm ityAdi
sp006-001731_GB_05-19	idam tu sarvakarmasannyAsavizayam prastutam
sp006-001732_GB_05-19	sarvakarmARi manasA iti AraBya A aDyAyaparisamApteH
sp006-001733_GB_05-20	na prahfzyet na praharzam kuryAt priyam izwam prApya labDvA
sp006-001734_GB_05-20	na udvijet prApya eva ca apriyam anizwam labDvA
sp006-001735_GB_05-20	dehamAtrAtmadarSinAm hi priyApriyaprAptI harzavizAdasTAne na kevalAtmadarSinaH tasya priyApriyaprAptyasamBavAt
sp006-001736_GB_05-20	kiYca sarvaBUtezu ekaH samo nirdoza AtmA iti sTirA nirvicikitsA budDiH yasya sa sTirabudDiH asammUQaH
sp006-001737_GB_05-20	sammohavarjitaSca syAt yaTokto brahmavit brahmaRi sTitaH
sp006-001738_GB_05-20	akarmakft sarvakarmasannyAsI ityarTaH
sp006-001739_GB_05-21	bAhyasparSezu bAhyASca sparSASca te bAhyasparSAH spfSyante iti sparSAH SabdAdayo vizayAH tezu bAhyasparSezu
sp006-001740_GB_05-21	asaktAtmA antaHkaraRam yasya saH ayam asaktAtmA vizayezu prItivarjitaH san
sp006-001741_GB_05-21	vindati laBate Atmani yat suKam tat vindati iti etat
sp006-001742_GB_05-21	brahmaRi yogaH samADiH brahmayogaH tena brahmayogena yuktaH samAhitaH tasmin vyApfta AtmA antaHkaraRam
sp006-001743_GB_05-21	yasya sa brahmayogayuktAtmA suKam akzayam aSnute prApnoti
sp006-001744_GB_05-21	tasmAt bAhyavizayaprIteH kzaRikAyA indriyARi nivartayet Atmani akzayasuKArTI ityarTaH
sp006-001745_GB_05-22	ye hi yasmAt saMsparSajA vizayendriyasaMsparSeByo jAtA BogA Buktayo duHKayonaya eva te avidyAkftatvAt
sp006-001746_GB_05-22	dfSyante hi ADyAtmikAdIni duHKAni tannimittAni eva
sp006-001747_GB_05-22	yaTA ihaloke taTA paraloke api iti gamyate evaSabdAt
sp006-001748_GB_05-22	na saMsAre suKasya ganDamAtramapi asti iti budDvA vizayamfgatfzRikAyA indriyARi nivartayet
sp006-001749_GB_05-22	na kevalam duHKayonaya AdyantavantaSca AdiH vizayendriyasaMyogo BogAnAm antaSca tadviyoga eva
sp006-001750_GB_05-22	ata AdyantavantaH anityA maDyakzaRaBAvitvAt ityarTaH
sp006-001751_GB_05-22	kOnteya na tezu Bogezu ramate buDo vivekI avagataparamArTatattvaH
sp006-001752_GB_05-22	atyantamUQAnAmeva hi vizayezu ratiH dfSyate yaTA paSupraBftInAm
sp006-001753_GB_05-23	iti tatparihAre yatnADikyam kartavyam iti Aha BagavAn
sp006-001754_GB_05-23	Saknoti utsahate iha eva jIvan eva yaH soQum prasahitum prAk pUrvam SarIravimokzaRAt AmaraRAt
sp006-001755_GB_05-23	maraRasImAkaraRam jIvataH avaSyamBAvi hi kAmakroDodBavo vegaH
sp006-001756_GB_05-23	anantanimittavAn hi sa iti yAvat maraRam tAvat na visramBaRIya ityarTaH
sp006-001757_GB_05-23	kAma indriyagocaraprApte izwe vizaye SrUyamARe smaryamARe vA anuBUte suKahetO yA garDiH tfzRA sa kAmaH
sp006-001758_GB_05-23	kroDaSca AtmanaH pratikUlezu duHKahetuzu dfSyamAnezu SrUyamARezu smaryamARezu vA yo dvezaH saH kroDaH
sp006-001759_GB_05-23	tO kAmakroDO udBavO yasya vegasya saH kAmakroDodBavo vegaH
sp006-001760_GB_05-23	romAYcanahfzwanetravadanAdiliNgaH antaHkaraRaprakzoBarUpaH kAmodBavo vegaH
sp006-001761_GB_05-23	gAtraprakampaprasvedasandazwOzWapuwaraktanetrAdiliNgaH kroDodBavo vegaH
sp006-001762_GB_05-23	tam kAmakroDodBavam vegaH ya utsahate prasahate soQum prasahitum sa yukto yogI suKI ca iha loke naraH
sp006-001763_GB_05-24	yaH antaHsuKaH antarAtmani suKam yasya saH antaHsuKaH
sp006-001764_GB_05-24	taTA antareva Atmani ArAma AkrIqA yasya saH antarArAmaH
sp006-001765_GB_05-24	taTA eva antarAtmA eva jyotiH prakASo yasya saH antarjyotiH eva
sp006-001766_GB_05-24	yaH IdfSaH sa yogI brahmanirvARam brahmaRi nirvftim mokzam iha jIvanneva brahmaBUtaH san aDigacCati prApnoti
sp006-001767_GB_05-25	laBante brahmanirvARam mokzam fzayaH samyagdarSinaH sannyAsinaH kzIRakalmazAH kzIRapApAdi dozAH
sp006-001768_GB_05-25	CinnadvEDAH CinnasaMSayAH yatAtmAnaH saMyatendriyAH
sp006-001769_GB_05-25	sarvaBUtahite ratAH sarvezAm BUtAnAm hite AnukUlye ratA ahiMsakA ityarTaH
sp006-001770_GB_05-26	kAmakroDaviyuktAnAm kAmaSca kroDaSca kAmakroDO tAByAm viyuktAnAm
sp006-001771_GB_05-26	yatInAm sannyAsinAm yatacetasAm saMyatAntaHkaraRAnAm aBita uBayato jIvatAm mftAnAm ca
sp006-001772_GB_05-26	brahmanirvARam mokzo vartate viditAtmanAm vidito jYAta AtmA yezAm te viditAtmAnaH
sp006-001773_GB_05-26	tezAm viditAtmanAm samyagdarSinAm ityarTaH
sp006-001774_GB_05-27	karmayogaSca ISvarArpitasarvaBAvena ISvare brahmaRi ADAya kriyamARaH
sp006-001775_GB_05-27	sattvaSudDijYAnaprAptisarvakarmasannyAsakrameRa mokzAya iti BagavAn pade pade abravIt vakzyati ca
sp006-001776_GB_05-27	aTa idAnIm DyAnayogam samyagdarSanasya antaraNgam vistareRa vakzyAmi iti
sp006-001777_GB_05-27	tasya sUtrasTAnIyAn SlokAn upadiSati sma
sp006-001778_GB_05-27	sparSAn SabdAdIn kftvA bahiH bAhyAn
sp006-001779_GB_05-27	SrotrAdidvAreRa antarbudDO praveSitAH SabdAdayo vizayAH
sp006-001780_GB_05-27	tAn acintayato bAhyA bahiH eva kftA Bavanti
sp006-001781_GB_05-27	tAn evam bahiH kftvA cakzuSca eva antare BruvoH kftvA iti anuzajyate
sp006-001782_GB_05-27	taTA prARApAnO nAsAByantaracAriRO samO kftvA
sp006-001783_GB_05-28	yatendriyamanobudDiH yatAni saMyatAni indriyARi mano budDiSca yasya sa yatendriyamanobudDiH mananAt muniH sannyAsI
sp006-001784_GB_05-28	mokzaparAyaRa evam dehasaMsTAno mokzaparAyaRo mokza eva param ayanam parA gatiH yasya saH ayam mokzaparAyaRo muniH Bavet
sp006-001785_GB_05-28	vigatecCABayakroDa icCA ca Bayam ca kroDaSca icCABayakroDAH te vigatA yasmAn sa vigatecCABayakroDaH
sp006-001786_GB_05-28	ya evam vartate sadA sannyAsI mukta eva sa na tasya mokzaH anyaH kartavyaH asti
sp006-001787_GB_05-29	BoktAram yajYAnAm tapasAm ca kartfrUpeRa devatArUpeRa ca
sp006-001788_GB_05-29	sarvalokamaheSvaram sarvezAm lokAnAm mahAntam ISvaram sarvalokamaheSvaram
sp006-001789_GB_05-29	suhfdam sarvaBUtAnAm sarvaprARinAm pratyupakAranirapekzatayA upakAriRam sarvaBUtAnAm hfdayeSayam
sp006-001790_GB_05-29	sarvakarmaPalADyakzam sarvapratyayasAkziRam mAm nArAyaRam jYAtvA SAntim sarvasaMsAroparatim fcCati prApnoti
sp006-001791_GB_05-29	iti SrImahABArate SatasAhasryAm saMhitAyAm vEyAsikyAm BIzmaparvaRi
sp006-001792_GB_05-29	SrImadBagavadgItAsu upanizatsu brahmavidyAyAm yogaSAstre SrIkfzRArjunasaMvAde karmasannyAsayogo nAma paYcamoऽDyAyaH
sp006-001793_GB_05-29	iti SrImatparamahaMsaparivrAjakAcArya govindaBagavatpUjyapAdaSizya SrImacCaNkaraBagavataH kftO SrImadBagavadgItABAzye prakftigarBonAma paYcamoऽDyAyaH
sp006-001794_GB_06-11	prAptayoga lakzaRam yatPalAdi ca iti ata AraByate
sp006-001795_GB_06-11	tatra Asanam eva tAvat praTamam ucyate
sp006-001796_GB_06-11	SucO SudDe vivikte svaBAvataH saMskArato vA deSe sTAne pratizWApya
sp006-001797_GB_06-11	sTiram acalam Atmana Asanam na atyucCritam na atIva ucCritam na api atinIcam
sp006-001798_GB_06-11	tacca cElAjinakuSottaram cElam ajinam kuSAH ca uttare yasmin Asane tadAsanam cElAjinakuSottaram
sp006-001799_GB_06-11	pAWakramAt viparItaH atra kramaH cElAdInAm
sp006-001800_GB_06-12	tatra tasmin Asane upaviSya yogam yuYjyAt
sp006-001801_GB_06-12	kaTam sarvavizayeBya upasaMhftya ekAgram manaH kftvA yatacittendriyakriyaH
sp006-001802_GB_06-12	cittam ca indriyARi ca cittendriyARi tezAm kriyAH saMyatA tasya sa yatacittendriyakriyaH
sp006-001803_GB_06-12	sa kimarTam yogam yuYjyAt iti Aha
sp006-001804_GB_06-12	AtmaviSudDaye antaHkaraRasya viSudDyarTam iti etat
sp006-001805_GB_06-13	aDunA SarIraDAraRam kaTamiti ucyate
sp006-001806_GB_06-13	samam kAyaSirogrIvam kAyaSca SiraSca grIvA ca kAyaSirogrIvam tat samam DArayan acalam ca
sp006-001807_GB_06-13	samam DArayataH calanam samBavati
sp006-001808_GB_06-13	ato viSinazwi acalam iti
sp006-001809_GB_06-13	sTiraH sTiro BUtvA ityarTaH
sp006-001810_GB_06-13	svam nAsikAgram samprekzya samyak prekzaRam darSanam kftvA iva iti
sp006-001811_GB_06-13	ivaSabdo lupto drazwavyaH
sp006-001812_GB_06-13	na hi svanAsikAgrasamprekzaRam iha viDitsitam
sp006-001813_GB_06-13	kim tarhi cakzuzo dfzwisannipAtaH
sp006-001814_GB_06-13	sa ca antaHkaraRasamADAnApekzo vivakzitaH
sp006-001815_GB_06-13	svanAsikAgrasamprekzaRam eva cet vivakzitam
sp006-001816_GB_06-13	manaH tatra eva samADIyate na Atmani
sp006-001817_GB_06-13	Atmani hi manasaH samADAnam vakzyati
sp006-001818_GB_06-13	tasmAt ivaSabdalopena akzRoH dfzwisannipAta eva samprekzya iti ucyate
sp006-001819_GB_06-13	diSaSca anavalokayan diSAm ca avalokanam antarA akurvan iti etat
sp006-001820_GB_06-14	praSAntAtmA prakarzeRa SAnta AtmA antaHkaraRam yasya soH ayam praSAntAtmA
sp006-001821_GB_06-14	vigataBIH vigataBayo brahmacArivrate sTito brahmacAriRo vratam brahmacaryam
sp006-001822_GB_06-14	guruSuSrUzABikzABuktyAdi tasmin sTitaH
sp006-001823_GB_06-14	tadanuzWAtA BavedityarTaH
sp006-001824_GB_06-14	kiYca manassaMyamya manaso vfttiH upasaMhftya iti etat
sp006-001825_GB_06-14	maccitto mayi parameSvare cittam yasya saH ayam maccitto
sp006-001826_GB_06-14	yuktaH samAhitaH san AsIta upaviSet
sp006-001827_GB_06-14	matparaH aham paro yasya saH ayam matparaH
sp006-001828_GB_06-14	Bavati kaScit rAgI strIcitto na tu striyameva paratvena gfhRAti
sp006-001829_GB_06-14	kim tarhi rAjAnam mahAdevam vA
sp006-001830_GB_06-14	ayam tu maccitto matparaSca
sp006-001831_GB_06-15	yuYjan samADAnam kurvan evam yatoktena viDAnena sadA AtmAnam yogI niyatamAnaso
sp006-001832_GB_06-15	niyatam saMyatam mAnasam mano yasya saH ayam niyatamAnasaH
sp006-001833_GB_06-15	SAntim uparatim nirvARaparamAm nirvARam mokzaH tat paramA nizWA yasyAH SAnteH
sp006-001834_GB_06-15	sA nirvARaparamA tAm nirvARaparamAm
sp006-001835_GB_06-15	matsaMsTAm madaDInAm aDigacCati prApnoti
sp006-001836_GB_06-16	na atyaSnata Atmasammitam annaparimARam atItya aSnataH
sp006-001837_GB_06-16	atyaSnato na yogaH asti
sp006-001838_GB_06-16	na ca ekAntam anaSnato yogaH asti
sp006-001839_GB_06-16	SatapaTabrAhmaRe nava dve eka dve iti SruteH
sp006-001840_GB_06-16	tasmAdyogI na AtmasammitAt annAt aDikam nyUnam vA aSnIyAt
sp006-001841_GB_06-16	aTavA yogino yogaSAstre paripaWItAt annaparimARAt atimAtram aSnato yogo nAsti
sp006-001842_GB_06-16	ityAdiparimARam
sp006-001843_GB_06-17	yuktAhAravihArasya Ahriyate iti AhAraH annam viharaRam vihAraH pAdakramaH
sp006-001844_GB_06-17	tO yuktO niyataparimARO yasya taTA
sp006-001845_GB_06-17	yuktacezwasya yuktA niyatA cezwA yasya karmasu
sp006-001846_GB_06-17	taTA yuktasvapnAvaboDasya yuktO svapnaSca avaboDaSca tO niyatakAlO yasya
sp006-001847_GB_06-17	tasya yuktAhAravihArasya yuktacezwasya karmasu yuktasvapnAvaboDasya yogino yogo Bavati duHKahA
sp006-001848_GB_06-17	duHKAni sarvARi hanti iti duHKahA
sp006-001849_GB_06-17	sarvasaMsAraduHKakzayakft yogo Bavati ityarTaH
sp006-001850_GB_06-18	yadA viniyatam cittam viSezeRa niyatam saMyatam ekAgratAm Apannam cittam hitvA brahmacintAm Atmani eva kevale avatizWate
sp006-001851_GB_06-18	svAtmani sTitim laBate ityarTaH
sp006-001852_GB_06-18	niHspfhaH sarvakAmeByo nirgatA dfzwAdfzwavizayeByaH
sp006-001853_GB_06-18	spfhA tfzRA yasya yoginaH sa yuktaH samAhita iti ucyate tadA tasminkAle
sp006-001854_GB_06-19	yaTA dIpaH pradIpo nivAtasTo nivAte vAtavarjite deSe sTito na iNgate na calati
sp006-001855_GB_06-19	sA upamA upamIyate anayA iti upamA yogajYEH cittapracAradarSiBiH smftA cintitA
sp006-001856_GB_06-19	saMyatAntaHkaraRasya yuYjato yogam anutizWata AtmanaH samADim anutizWata ityarTaH
sp006-001857_GB_06-20	yatra yasmin kAle uparamate cittam uparatim gacCati nirudDam sarvato nivAritapracAram yogasevayA yogAnuzWAnena
sp006-001858_GB_06-20	yatra ca eva yasmin ca kAle AtmanA samADipariSudDena antaHkaraRena AtmA
sp006-001859_GB_06-20	param cEtanya jyotiHsvarUpam paSyan upalaBamAnaH sve eva Atmani tuzyati tuzwim Bajate
sp006-001860_GB_06-21	suKam Atyantikam atyantam eva BavatIti Atyantikam anantam ityarTaH
sp006-001861_GB_06-21	yattat budDigrAhyam budDyA eva indriyanirapekzayA gfhyate iti budDigrAhyam
sp006-001862_GB_06-21	atIndriyam indriyagocarAtItam avizayajanitam ityarTaH
sp006-001863_GB_06-21	vetti tat IdfSam suKam anuBavati yatra yasmin kAle
sp006-001864_GB_06-21	na ca eva ayam vidvAn AtmasvarUpe sTitaH
sp006-001865_GB_06-21	tasmAt na eva calati tattvataH tattvasvarUpAt na pracyavate ityarTaH
sp006-001866_GB_06-22	yam labDvA yam AtmalABam labDvA prApya ca aparam anyallABAntaram
sp006-001867_GB_06-22	tataH aDikam asti iti na manyate cintayati
sp006-001868_GB_06-22	kiYca yasmin Atmatattve sTito duHKena SastranipAtAdilakzaRena
sp006-001869_GB_06-22	guruRA mahatA api na vicAlyate
sp006-001870_GB_06-23	tam vidyAt vijAnIyAt duHKasaMyogaviyogam duHKEH saMyogo duHKasaMyogaH
sp006-001871_GB_06-23	tena viyogo duHKasaMyogaviyogaH
sp006-001872_GB_06-23	tam duHKasaMyogaviyogam yoga iti eva saYjYitam viparItalakzaRena vidyAt vijAnIyAt ityarTaH
sp006-001873_GB_06-23	yogaPalam upasaMhftya punaH anvAramBeRa yogasya kartavyatA ucyate
sp006-001874_GB_06-23	niScayAnirvedayoH yogasADanatvaviDAnArTam
sp006-001875_GB_06-23	sa yaToktaPalo yogo niScayena aDyavasAyena yoktavyaH anirviRRacetasA
sp006-001876_GB_06-23	na nirviRRam anirviRRam
sp006-001877_GB_06-23	kim tat cetaH tena nirvedarahitena cetasA cittena ityarTaH
sp006-001878_GB_06-24	saNkalpapraBavAn saNkalpaH praBavo yezAm kAmAnAm te saNkalpapraBavAH kAmAH
sp006-001879_GB_06-24	tAn tyaktvA parityajya sarvAn aSezato nirlepena
sp006-001880_GB_06-24	kiYca manasA eva vivekayuktena indriyagrAmam indriyasamudAyam viniyamya niyamanam kftvA samantataH samantAt
sp006-001881_GB_06-25	SanEH SanEH na sahasA uparamet uparatim kuryAt
sp006-001882_GB_06-25	kayA budDyA kiMviSizwayA
sp006-001883_GB_06-25	DftigfhItayA DftyA DEryeRa gfhItayA DftigfhItayA DEryeRa yuktyA ityarTaH
sp006-001884_GB_06-25	AtmasaMsTam Atmani saMsTitam AtmA eva sarvam na tataH anyat kiYcidasti
sp006-001885_GB_06-25	iti evam AtmasaMsTam manaH kftvA na kiYcidapi cintayet
sp006-001886_GB_06-25	eza yogasya paramo viDiH
sp006-001887_GB_06-26	yato yato yasmAt yasmAt nimittAt SabdAdeH
sp006-001888_GB_06-26	niScarati nirgacCati svaBAvadozAt manaH caYcalam
sp006-001889_GB_06-26	atyarTam calam ata eva asTiram tataH tataH tasmAttasmAt SabdAdeH nimittAt
sp006-001890_GB_06-26	niyamya tat tat nimittam yATAtmyanirUpaRena ABAsIkftya
sp006-001891_GB_06-26	vErAgyaBAvanayA ca etat mana Atmani eva vaSam nayet AtmavaSyatAm ApAdayet
sp006-001892_GB_06-26	evam yogAByAsabalAt yogina Atmani eva praSAmyati manaH
sp006-001893_GB_06-27	praSAntamanasam praSAntam mano yasya sa praSAntamanAH
sp006-001894_GB_06-27	tam praSAntamanasam hi enam yoginam suKam uttamam niratiSayam
sp006-001895_GB_06-27	upEti upagacCati SAntarajasam prakzIRamohAdikleSarajasam ityarTaH
sp006-001896_GB_06-27	brahmaBUtam jIvanmuktam brahma eva sarvam iti evam niScayavantam brahmaBUtam
sp006-001897_GB_06-27	akalmazam aDarmAdivarjitam
