sp004-000001_KS_11	aByarTyeti
sp004-001089_KS_15	dEtyADipateH tArakasya pure nagare sTitAH te mahAsurAH sametya samuditya
sp004-001090_KS_15	saNGIBUya iti yAvat
sp004-001091_KS_15	taTA kirIwezu mukuwezu badDaH aYjaliH yEH taTA santaH
sp004-001092_KS_15	praRamya yuyutsunA yodDum icCunA manmaTaSatroH
sp004-001093_KS_15	Sivasya sUnunA putreRa kumAreRa saha Agatam jamBajitam indram nyavedayan
sp004-001094_KS_15	SaSamBuputraH mahendraH AgataH iti niveditavantaH ityarTaH
sp004-001095_KS_15	dAsIkfteti
sp004-001096_KS_15	dAsIkftam BftyIkftam
sp004-001097_KS_15	dAso Bftye ca SUdre ca iti medinI
sp004-001098_KS_15	aSezajagattrayam samastalokatritayam yena taTABUtam mAm SacIpatiH indraH
sp004-001099_KS_15	katiSaH kativAram yudDe na jigAya jayati sma
sp004-001100_KS_15	api tu anekavAram jigAya iti kAkuH
sp004-001101_KS_15	jayanizeDasya kAkvASritatvAt jayanizeDa eva Dvanyate
sp004-001102_KS_15	sAmpratam vartamAnakAle girISaputrasya kumArasya balena vIryeRa tadASrayeRa ityarTaH
sp004-001103_KS_15	Druvam niScayena vijetA vijezyete iti saH tArakaH kAkutaH
sp004-001104_KS_15	kAkva ahasat jahAsa
sp004-001105_KS_15	kadAcidapi na vijezyate iti Dvanyate
sp004-001106_KS_15	tata iti
sp004-001107_KS_15	tataH anantaram kruDA kroDena nimittena visPuritaH ucCvasitaH aDaraH anUrDvaH ozWaH yasya
sp004-001108_KS_15	prasidDam cEtat yat kroDavaSAt aDaravisPuraRam
sp004-001109_KS_15	taTA aDaraH hInaH
sp004-001110_KS_15	nIca iti yAvat
sp004-001111_KS_15	aDarastu pumAnozWe hIne anUrDvam ca vAcyavat iti medinI
sp004-001112_KS_15	visPuritADaraSca asO aDaraSceti viSezaRasamAsaH
sp004-001113_KS_15	taTA trilokyAH jaya eva keliH krIqA
sp004-001114_KS_15	tasyAm lAlasA icCA yasya
sp004-001115_KS_15	anAyAsenEva trilokIm jezyAmi ityaBimAnavAn ityarTaH
sp004-001116_KS_15	evamBUtaH saH tArakaH asuraH darpitAH saYjAtadarpAH taTA dorbalena
sp004-001117_KS_15	Bujabalena udDatAn pragalBAn senApatIn senADipAn yuDe yudDAya
sp004-001118_KS_15	yudDam kartum ityarTaH
sp004-001119_KS_15	sannahanArTam sannadDIBavanArTam ca AdiSat AjajYe
sp004-001120_KS_15	yudDe iti pAWe yudDe vizaye trilokIjayakeli lAlAsaH ityanvayitavyam
sp004-001121_KS_15	maheti
sp004-001122_KS_15	udAyuDAH udDftAni AyuDAni SastrARi yEH evamBUtAH
sp004-001123_KS_15	mahAcamUnAm mahatInAm senAnAm aDipAH svAminaH sadyaH tvaritam sutarAm sannahya
sp004-001124_KS_15	sannadDAH BUtvA vinamrAH ye kzitipAlAH rAjAnaH tEH saNkule vyApte
sp004-001125_KS_15	tasya tArakasya yat aNganadvAram catvarapraveSadvAram tasya varaH SrezWaH yaH prakozWakaH antaram
sp004-001126_KS_15	maDyamiti yAvat
sp004-001127_KS_15	prakozWo maRibanDe syAt kUrparasyAntareऽpi ca
sp004-001128_KS_15	BUpakakzAntarepi syAt iti medinI
sp004-001129_KS_15	tatra samantataH sarvataH tasTuH
sp004-001130_KS_15	nfpam pratIkzamARAH iti SezaH
sp004-001131_KS_15	samantatastu paritaH sarvato vizvagityapi ityamaraH
sp004-001132_KS_15	sa iti
sp004-001133_KS_15	saH rAjA tArakaH puraH agre dvArapAlena pradarSitAn kftAnatIn bAhuvarAn
sp004-001134_KS_15	bAhavaH varAH SrezWAH yezAm taToktAn aDizWitAn
sp004-001135_KS_15	dvAre iti SezaH
sp004-001136_KS_15	mahAhavarUpiRaH amBoDeH samudrasya viDUnane kampane udDatAn pragalBAn
sp004-001137_KS_15	mahAvIrAn ityarTaH
sp004-001138_KS_15	saNgrAmAByAgamAhavAH ityamaraH
sp004-001139_KS_15	bahUn pftanADipAn senApatIn dadarSa dfzwavAn
sp004-001140_KS_15	adaBram bahulam bahu ityamaraH
sp004-001141_KS_15	balIti
sp004-001142_KS_15	aTa anantaram balI vIryavAn saH tArakaH balArAteH indrasya sambanDinaH balasya sEnyasya
sp004-001143_KS_15	balam ganDarase rUpe sTAmani sTOlyasEnyayoH iti medinI
sp004-001144_KS_15	atiSAtanam tanUkartAram
sp004-001145_KS_15	hantAram ityarTaH
sp004-001146_KS_15	digdantinAm ErAvatAdInAm nAdadravayoH GozamadayoH
sp004-001147_KS_15	nASanaH nASakaH svanaH GozaH yasya tam
sp004-001148_KS_15	yadIyaGozavaSAt digdantinoऽpi tUzRIm SuzkamadASca Bavanti iti BAvaH
sp004-001149_KS_15	mahIDarezu parvatezu amBoDizu ca navAritakramam anivAritasaYcAram
sp004-001150_KS_15	na Sabdena saha supsupA iti samAsaH
sp004-001151_KS_15	Goram BImam raTam aDiruhya yayO jagAma
sp004-001152_KS_15	pratasTe iti yAvat
sp004-001153_KS_15	yugeti
sp004-001154_KS_15	yugakzaye pralayakAle kzubDaH saYcalitaH yaH payoDiH
sp004-001155_KS_15	samudraH tasya niHsvana iva nisvanaH yAsAm
sp004-001156_KS_15	pralayakAlodvelIBUta sAgarasadfSaGoraGozAH ityarTaH
sp004-001157_KS_15	calantInAm patAkAnAm vEjayantInAm
sp004-001158_KS_15	patAkA vEjayantyAm syAt sOBAgye nAwakANkayoH iti medinI
sp004-001159_KS_15	kulena samUhena vAritAtapAH dUrIkftaGarmAH DarAyAH BUmeH rajoBiH grastAH digantAni dikprAntAni
sp004-001160_KS_15	BAskarasya yABiH taTABUtAH pftanAH senAH kartryaH
sp004-001161_KS_15	prayAntam pratizWamAnam tam patim tArakAsuram anvayuH anujagmurityarTaH
sp004-001162_KS_15	camUraja iti
sp004-001163_KS_15	aBisuram surasammuKam prasarpiRaH pratizWamAnasya mahAsurasya
sp004-001164_KS_15	tArakasya sambanDinInAm camUnAm rajaH reRuH
sp004-001165_KS_15	digantadantinAm ErAvatAdInAm sitezu SuBrezu dantaprakARqezu
sp004-001166_KS_15	dantarUpAsu SAKAsu ityarTaH
sp004-001167_KS_15	prakARqo na strI viwape mUlaSAKAntare tayoH iti medinI
sp004-001168_KS_15	SuBratAm pARqutAm dAnAmbunA madajalena Ganezu saGanezu kumBezu mUrDAntarezu
sp004-001169_KS_15	gaRqasTalezu iti yAvat
sp004-001170_KS_15	kumBo rASyantare hastimUrDAnte rAkzasAntare iti medinI
sp004-001171_KS_15	paNkatAm kardamatAm
sp004-001172_KS_15	paNkoऽstrI kardame pApe iti medinI
sp004-001173_KS_15	prApa
sp004-001174_KS_15	DavalimASrayIBUtasambanDena yuktam hi Davalatvam iti BAvaH
sp004-001175_KS_15	anyatsPuwam
sp004-001176_KS_15	mahIBftAmiti
sp004-001177_KS_15	mahIBftAm parvatAnAm sambanDinaH ye kandarAH daryaH
sp004-001178_KS_15	darI tu kandaro vA strI ityamaraH
sp004-001179_KS_15	tezAm dAraRe sPowane ulbaREH udBawEH
sp004-001180_KS_15	AtmavyAptivaSAt sPowadBiriva BAsamAnEH ityarTaH
sp004-001181_KS_15	taTA GanEH dfQEH
sp004-001182_KS_15	kaWorEH iti yAvat
sp004-001183_KS_15	vanam syAt kAMsyatAlAdivAdyamaDyamanftyayoH
sp004-001184_KS_15	nA mustAdO GanAdyezu vistAre lohamudgare
sp004-001185_KS_15	trizu sAndre dfQe ca iti medinI
sp004-001186_KS_15	tadvAhinInAm tArakasenAnAm sambanDinaH ye pawahAH AnakAH
sp004-001187_KS_15	pawaho nA samAramBe Anake punnapuMsakam iti medinI
sp004-001188_KS_15	tezAm svanEH kartfBiH udvelitAH velAm atikramitAH
sp004-001189_KS_15	mahArRavAH mahAntaH samudrAH cukzuBire saYceluH
sp004-001190_KS_15	pawahaDvanijanitaBayAt iti BAvaH
sp004-001191_KS_15	taTA naBaHsravantI AkASagaNgA ca sahasA akasmAt aByavarData
sp004-001192_KS_15	ativelA baBUva ityarTaH
sp004-001193_KS_15	surArinATasyeti
sp004-001194_KS_15	tumulEH saNkulEH tumulaH kalivfkze nA tumulam raRasaNkule iti medinI
sp004-001195_KS_15	surArireva nATaH rAjA tasya
sp004-001196_KS_15	yadvA surArIRAm nATaH rAjA
sp004-001197_KS_15	tasya sambanDinInAm mahAcamUnAm svanEH SabdEH vigAhyamAnAH vyApyamAnA surApagA mandAkinI
sp004-001198_KS_15	aByucCritEH aByutpatitEH vArijEH vArijAni kamalAni vidyante yezu tEH
sp004-001199_KS_15	kamalasahitEH ityarTaH
sp004-001200_KS_15	arSaAdiByaH ityac
sp004-001201_KS_15	UrmiSatEH taraNgaSatakESca
sp004-001202_KS_15	UrmiSatEH taraNgaSatESca
sp004-001203_KS_15	UrmiSatEH taraNgaSatESca BaNgastaraNga UrmirvA ityamaraH
sp004-001204_KS_15	nAkaniketanAvalIm svargaveSmapaNktim akzAlayat mamArja
sp004-001205_KS_15	aTeti
sp004-001206_KS_15	aTa anantaram prayARABimuKasya prasTAnasammuKasya nAkinAm devAnAm
sp004-001207_KS_15	dvizaH vEriRaH tArakasya purastAt agre Bo tAraka
sp004-001208_KS_15	tava tvatkarmakam
sp004-001209_KS_15	agADaH atalasparSaH
sp004-001210_KS_15	agADamatalasparSe trizu SvaBre napuMsakam iti medinI
sp004-001211_KS_15	yaH duHKAmbuDiH duHKasamudraH tanmaDye majjanam Bavizyati
sp004-001212_KS_15	ityevam aSuBopadeSinI aSuBavAdinI utpAtaparamparA duHSakunapaNktiH baBUva
sp004-001213_KS_15	AgAmIti
sp004-001214_KS_15	GoratarA atiSayaBayAnakA kupakziRAm gfDrAdInAm kapotAdInAm vA paramparA
sp004-001215_KS_15	AgAmi Bavizyat yat dEtyasya aSanakeliH BojanakrIqA tatkANkzatIti taTABUtA
sp004-001216_KS_15	taTA surArivAhinIH tArakasenAH uparyupari
sp004-001217_KS_15	uparyaDyaDasaH sAmIpye iti dvirBAvaH
sp004-001218_KS_15	tadyoge dvitIyA
sp004-001219_KS_15	taduktam vAmanena uparyAdizu sAmIpye dviruktezu dvitIyayA iti
sp004-001220_KS_15	divAritAtapA na nivAritaDarmA ca satI vyomni AkASe padam sTAnam daDO DftavatI
sp004-001221_KS_15	anena padyena prayARAnOcityadyotakam utpAtadvayam varRitam
sp004-001222_KS_15	taTAhi
sp004-001223_KS_15	Akasmikopari vfttiH AtapAnivfttiSca
sp004-001224_KS_15	tasmAt sarvaTEva asya maraRam Bavizyati iti sUcyate
sp004-001225_KS_15	muhuriti
sp004-001226_KS_15	viBagnAH trowitAH AtapavAraRasahitAH DvajAH yena
sp004-001227_KS_15	calantyaH visarantyaH yAH DarADUlayaH pfTivIrajAMsi
sp004-001228_KS_15	tAsAm kulena sADanIBUtena AkulAni vyAkulIkftAni IkzaRAni lokanetrARi yena
sp004-001229_KS_15	taTA BUtasya kampitasya
sp004-001230_KS_15	naBasi Bramitasya iti yAvat
sp004-001231_KS_15	aSvAnAm mAtaNgAnAm mahAraTAnAm ca Akarasya nikarasya
sp004-001232_KS_15	Akaro nikare ratnasTAne SrezWe ca kaTyate iti medinI
sp004-001233_KS_15	anavekzaRam adarSanam yena
sp004-001234_KS_15	AcCAditasakalasenANgaH praBaYjanaH vAyuH
sp004-001235_KS_15	pavamAnapraBaYjanAH ityamaraH
sp004-001236_KS_15	aBUt utpannaH
sp004-001237_KS_15	muhuH prasaBam ityasya viSezaRatrayeऽpi sambanDaH
sp004-001238_KS_15	ayam tftIyaH utpAtaH
sp004-001239_KS_15	sadya iti
sp004-001240_KS_15	sadyo viBinnam tatkzaRapatitam yadaYjanam kajjalam
sp004-001241_KS_15	aYjanam kajjale cAktO sOvIre ca rasAntare iti medinI
sp004-001242_KS_15	tasya puYja iva nikara iva tejaH DAma yezAm
sp004-001243_KS_15	nUtanapAtitakajjalasamUhaSyAmaBAsaH ityarTaH
sp004-001244_KS_15	uccakEH mahAntaH
sp004-001245_KS_15	vistIrRAH iti yAvat
sp004-001246_KS_15	taTA BfSam BayaNkarAkAraBftaH
sp004-001247_KS_15	atiBIzaRasvarUpaDAriRaH ityarTaH
sp004-001248_KS_15	mahABujaNgamAH mahAntaH sarpAH puraH agre vizAgnim garalarUpam agnim
sp004-001249_KS_15	kzveqastu garalam vizam ityamaraH
sp004-001250_KS_15	vikirantaH vikzipantaH santaH paTaH sEnyagantavyamArgAn atItya
sp004-001251_KS_15	pUrvavihita AtmasambanDena viyojya yayuH
sp004-001252_KS_15	caturToऽyam utpAtaH
sp004-001253_KS_15	miladiti
sp004-001254_KS_15	dinAnAm praBuH sUryaH dvizataH SatruBUtasya dvizaddvezaRadurhfdaH ityamaraH
sp004-001255_KS_15	mahAsurasya tArakasya antam vinASam
sp004-001256_KS_15	maraRam iti yAvat
sp004-001257_KS_15	antaHsvarUpe nASe nA strI Seze cAntike trizu iti medinI
sp004-001258_KS_15	AsUcayitum jYApayitum milantaH saMyujantaH
sp004-001259_KS_15	taTA mahABImAH atiBayaNkarAH ye BujaNgAH sarpAH
sp004-001260_KS_15	tEH BIzaRam Bayadam parivezam pariDim kuRqalAkAram
sp004-001261_KS_15	parivezastu pariDirUpasUryakamaRqale ityamaraH
sp004-001262_KS_15	atimatsarAdiva AdaDO DftavAn
sp004-001263_KS_15	vinASarUpa PalasUcaka parivezADAne matsarasya hetutvABAveऽpi hetutvakalpanAt hetUtprekzA
sp004-001264_KS_15	ata eva BayaNkaraH viBIzakaH
sp004-001265_KS_15	meGarti iti KaS
sp004-001266_KS_15	paYcamoऽyam utpAtaH
sp004-001267_KS_15	tvizAmiti
sp004-001268_KS_15	tvizAm tejasAm aDISasya raveH aDimaRqalam maRqale ityarTaH
sp004-001269_KS_15	viBaktyarTe avyayIBAvaH
sp004-001270_KS_15	sametAH samuditAH SivAH krozwryaH
sp004-001271_KS_15	SivA JAwAmalOzaDO
sp004-001272_KS_15	aBayAmalakI gOrI krozwrISakraPalAsu ca iti viSvaH
sp004-001273_KS_15	surArirAjasya tArakasya sambanDini raRAnte saNgrAmasamIpe yat SoRitam raktam
sp004-001274_KS_15	drutam SIGram prasahya balAt pAtum pAnam kartum utsukAH iva paruzam kaWoram yaTA taTA vavASire cukruSuH
sp004-001275_KS_15	atra utpAtadvayam
sp004-001276_KS_15	mArtaRqamaRqalADikaraRakam SivAsamuditatvam tatkartfka kaWoraruditam ceti
sp004-001277_KS_15	zazWasaptamO etO utpAtO
sp004-001278_KS_15	divApIti
sp004-001279_KS_15	aTa divApi dineऽpi taralAH caYcalAH tarasvinIH vegavatIH
sp004-001280_KS_15	raMhastarasI tu rayaH syadaH ityamaraH
sp004-001281_KS_15	tArAH nakzatrARi vAhinIH paritaH aBitaH paritaH samayA ityAdinA dvitIyA
sp004-001282_KS_15	parApatantIH vilokya lokaH manasA suradvizaH sambanDi
sp004-001283_KS_15	prARavyayAntam prARanASAvaDi vyasanam vyacintayat
sp004-001284_KS_15	prARanASAvaDi rAjYaH duHKam Bavizyati iti cintayAmAsa ityarTaH
sp004-001285_KS_15	azwamaH ayam utpAtaH
sp004-001286_KS_15	jvaladBiriti
sp004-001287_KS_15	nirambudAt anudBUtameGAt naBasaH vyomnaH sakASAt
sp004-001288_KS_15	aBitaH jvaladBiH prasPuradBiH praBABarEH kAntisamUhEH kftvA
sp004-001289_KS_15	uccEH atiSayitam yaTA taTA udBAsitAni prakASitAni
sp004-001290_KS_15	aSezadigantarAmbarARi samastadiSAm prAntagatAni yena
sp004-001291_KS_15	taTA rOdreRa BayAnakena raveRa GozeRa hfdantasya uromaDyasya dAraRam vidArakam vajram sPUrjaTuH papAta
sp004-001292_KS_15	sPurjaTurvajranirGozaH ityamaraH
sp004-001293_KS_15	atrApi utpAtadvayam ambudasAnniDyABAveऽpi vajradarSanam tatpAtaSceti
sp004-001294_KS_15	evam navamadaSamO utpAtO uktO
sp004-001295_KS_15	jvaladBiriti
sp004-001296_KS_15	naBastalam
sp004-001297_KS_15	nirambudam sat iti SezaH
sp004-001298_KS_15	jvaladBiH aNgAracayEH kAzWaSakalasamUhEH
sp004-001299_KS_15	taTA SoRitAsTiBiSca saha gAQam dfQam
sp004-001300_KS_15	bahviti yAvat
sp004-001301_KS_15	vavarza
sp004-001302_KS_15	jvaladaNgAraruDirAsTigarBitam jalam vavarzetyarTaH
sp004-001303_KS_15	ambudasAnniDyABAveऽpi vfzwiH ekAdaSatamoऽyam utpAtaH
sp004-001304_KS_15	sApi aNgArAdimiSriteti dvAdaSatamaH
sp004-001305_KS_15	ata eva jvalantyaH diSaH rAsaBakaRWaDUsaram KaragalasadfSaDUsaravarRam
sp004-001306_KS_15	rAsaBo gardaBe kzudrajanturogapraBedayoH iti medinI
sp004-001307_KS_15	DUmam DUmarUpam rajaH reRum muKEH prAramBadeSEH vyasfjan tatyajuH
sp004-001308_KS_15	trayodaSatamaH ayam utpAtaH
sp004-001309_KS_15	nirGAteti
sp004-001310_KS_15	prakopinA prakfzwarozeRa kAlena yamena ArjitA utpAditA
sp004-001311_KS_15	garjinI garjanAm kurvatI tarjanA apakAragIH yatra
sp004-001312_KS_15	ata eva ambarasya ASAnAm ca kuhareRa antareRa udaramBariH
sp004-001313_KS_15	ata eva girIRAm SrfNgasya SAtanaH BedakaH taTA GanaH sAndraH nirGAtaScAsO GozaSca
sp004-001314_KS_15	saH BUmnA bAhulyena SrutiBittiBedanaH karRakuqyatAqanaH baBUva
sp004-001315_KS_15	caturdaSatamaH ayam utpAtaH
sp004-001316_KS_15	sKaladiti
sp004-001317_KS_15	dvizaH tArakasya balam sEnyam
sp004-001318_KS_15	balam ganDarase rUpe sTAmani sTOlyasEnyayoH iti viSvaH
sp004-001319_KS_15	prakzuByadBiH unmaTyamAnEH amBoDiBiH viBinnAH vidIrRAH BUDarAH parvatAH yatra
sp004-001320_KS_15	protpadyamAna vikawatara DaraRikampaprocCalat samudvela jalaDi GoratarapravAhasPuwantaH
sp004-001321_KS_15	DarADarAH baBUvuH iti BAvaH
sp004-001322_KS_15	evamBUtAt avaniprakampAt BUkampAt hetoH sKalanmaheBam mUrcCat bfhatkarIndram
sp004-001323_KS_15	prapatatturaNgamam prakfzwapatadvAjirAjam parasparASlizwa uBayavat
sp004-001324_KS_15	anyonyAsaMsakta AnanaH yatra taTABUtam baBUva
sp004-001325_KS_15	paYcadaSatamaH ayam utpAtaH
sp004-001326_KS_15	urDvIkftAsyA iti
sp004-001327_KS_15	sarve SvAnaH sametya samudetya UrDvIkftAsyAH urDvadiSAvihitavadanAH
sp004-001328_KS_15	taTA ravidattadfzwayaH sUryanibadDalocanAH
sp004-001329_KS_15	taTA karuRena karuRarasapUritena ata eva SravaRAntaSAtinA
sp004-001330_KS_15	karRamaDyatanUkAriRA svareRa Sabdena kftvA rudantaH kroSantaH santaH
sp004-001331_KS_15	suravidvizaH tArakasya puraH agre niryayuH niragacCan
sp004-001332_KS_15	zoqaSatamaH ayam utpAtaH
sp004-001333_KS_15	apIti
sp004-001334_KS_15	gAQam dfQam yaTA taTA pariRAme uttarakAle dAruRAm BayapradAm mahattamAm atiSayamahatIm
sp004-001335_KS_15	arizwasantatim utpAtaparamparAm paSyannapi asuraH tArakaH kruDA amarzeRa
sp004-001336_KS_15	prayARavyavasAyataH prasTAnodyogAt na nyavartata na nivfttaH Kalu
sp004-001337_KS_15	yataH durdEvena duradfzweRa dazwaH hataH
sp004-001338_KS_15	vinASakAle viparItabudDiH iti nyAyAt iti BAvaH
sp004-001339_KS_15	arizweti
sp004-001340_KS_15	mahAsuraH tArakaH arizwam vipAke uttarakAle dAruRam Bayadam ASaNkya
sp004-001341_KS_15	tarkayitvA nivAryamARaH niziDyamAnoऽpi pura eva pratasTe na tu paScAt nivavfte
sp004-001342_KS_15	taTAhi
sp004-001343_KS_15	mahatAm mahatA kftam asadgraheRana anDasya avivekinaH sambanDinaH
sp004-001344_KS_15	hitasya upadeSanam vfTA vyarTam Bavet
sp004-001345_KS_15	durAgrahaSIlasya samyak upadeSoऽpi tat amatatayA vyarTaH syAt iti BAvaH
sp004-001346_KS_15	kzitAviti
sp004-001347_KS_15	pratikUlavAyunA pratIpapavanena kzitO pfTivyAm nirastam nikziptam
sp004-001348_KS_15	asu kzepaRe ityataH karmaRi nizWA
sp004-001349_KS_15	tadIyam tArakasambanDi cAmIkarasya hemnaH
sp004-001350_KS_15	cAmIkaram jAtarUpam mahArajatakAYcane ityamaraH
sp004-001351_KS_15	GarmavAraRam Cattram mftyoH yamasya sambanDini pAraRAviDO
sp004-001352_KS_15	BojanakriyAnimittam ityarTaH
sp004-001353_KS_15	nimittAtkarmayoge iti saptamI
sp004-001354_KS_15	yogoऽtra saMyogaH
sp004-001355_KS_15	prakalpitam nirmitam mahad viSAlam hAwakaBAjanam suvarRapAtramiva ityutprekzA
sp004-001356_KS_15	rarAja SuSuBe
sp004-001357_KS_15	vijAnateti
sp004-001358_KS_15	prajYena
sp004-001359_KS_15	buDena
sp004-001360_KS_15	prajYastu paRqite vAcyaliNgo budDO tu yoziti iti medinI
sp004-001361_KS_15	ata eva BAvi Bavizyat SIronikfntanam mastakacCedanam vijAnatA
sp004-001362_KS_15	buDyamAnena tasya tArakasya mOlinA kirIwena
sp004-001363_KS_15	mOliH kirIwe SrfNgAre Dammille drumacUqayoH iti viSvaH
sp004-001364_KS_15	SokAdDetoH muhuH galadBiH niHsaradBiH taralEH caYcalEH
sp004-001365_KS_15	taralam caYcale KiNge hAramaDyamaRAvapi iti viSvaH
sp004-001366_KS_15	muktAPalAnyeva bAzpabindavaH aSrubindavaH
sp004-001367_KS_15	bindustu dantanAle syAt taTA veditfvipluzoH iti viSvaH
sp004-001368_KS_15	tEH kftvA alantarAm atiSayaparyAptam yaTA taTA
sp004-001369_KS_15	alam BUzaRaparyAptivAraRezu nirarTake iti viSvaH
sp004-001370_KS_15	arodIva ruditamiva ityutprekzA
sp004-001371_KS_15	mukuwaKacitamaRinicayasAhasikaBUpatanarUpaH utpAtoऽyam iti BAvaH
sp004-001372_KS_15	nivAryamAREriti
sp004-001373_KS_15	Bavizyati etasya tArakasya maraRam upadiSanti boDayanti taTABUtEH taTA AkulEH
sp004-001374_KS_15	BakzaRakriyAsamBramitEH gfDrEH pakziviSezEH
sp004-001375_KS_15	gfDraH KagAntare gfDrI vAcyavaccATa lubDake iti viSvaH
sp004-001376_KS_15	aBitaH sarvataH anuyAyiBiH anugacCadBiH
sp004-001377_KS_15	ata eva utprekzate muhurmuhuH anekavelam nivAryamARErapi
sp004-001378_KS_15	tam grahItukAmEriva mOlim kirIwam aBi sammuKam apAti patitam
sp004-001379_KS_15	BAve luN
sp004-001380_KS_15	punaHpunaH nivAryamARA api tadbuBukzayA mOlim uddiSyEva petuH iti BAvaH
sp004-001381_KS_15	ayamapi mahotpAtaH
sp004-001382_KS_15	sadya iti
sp004-001383_KS_15	janaH lokaH tasya tArakasya Dvaje
sp004-001384_KS_15	tadupari ityarTaH
sp004-001385_KS_15	sadyaH nikfttasya tatkAlapAtitasya aYjanasya kajjalasya sodarA samAnA dyutiH SoBA yasya
sp004-001386_KS_15	aYjanasadfSaSyAmalam ityarTaH
sp004-001387_KS_15	taTA PaRAmaRiBiH PaRaratnEH prajvalad aDikIBavad aMSumaRqalam yasya
sp004-001388_KS_15	niryadvizameva ulkAnalaH saH garBe maDye yezAm tAdfSAni PUtkftAni
sp004-001389_KS_15	yasya taTABUtam mahAhim mahAntam sarpam Ekzata dadarSa
sp004-001390_KS_15	ayamapi mahotpAtaH
sp004-001391_KS_15	raTeti
sp004-001392_KS_15	akARqataH asamaye sArvaviBaktikaH tasil
sp004-001393_KS_15	tasya tArakasya sambanDI yaH atanusyandanaH
sp004-001394_KS_15	mahAn raTaH tasya DuryaH agraBAgaH tasya gocaraH
sp004-001395_KS_15	tallagna ityarTaH
sp004-001396_KS_15	caRqataraha atiSayapracaRqaH hutASanaH agniH
sp004-001397_KS_15	raTASvasambanDinI yA keSAvaliH karRacAmarARi ca tezAm samAhAraH tat
sp004-001398_KS_15	prARyaNgatvAt ekavadBAvaH
sp004-001399_KS_15	taTA bARAsanam bARakzepakriyAsADanam
sp004-001400_KS_15	karaRe lyuw
sp004-001401_KS_15	DanurbARAH bARaDiH tURIraSca ityetAn ityarTaH
sp004-001402_KS_15	dadAha
sp004-001403_KS_15	ayamapi mahotpAtaH
sp004-001404_KS_15	ityAdIti
sp004-001405_KS_15	madAnDaH asuraH tArakaH aSuBopadeSiBiH amaNgalasUcakEH ityAdyarizwEH pUrvoktamahotpAtEH
sp004-001406_KS_15	punaH punaH vihanyamAnoऽpi viGnitaH kriyamARoऽpi yadA gatAt gamanAt
sp004-001407_KS_15	BAve nizWA
sp004-001408_KS_15	na nyavartata na nivfttaH
sp004-001409_KS_15	tadA ambarAt vyomnaH sakASAt marutAm devAnAm sarasvatI vARI aBUt
sp004-001410_KS_15	madAnDeti
sp004-001411_KS_15	Bo madAnDa BujadaRqayoH yaH caRqimA pracaRqatvam tena yaH avalepaH garvaH
sp004-001412_KS_15	avalepastu garve syAt lepane dUzaReऽpi ca iti medinI viSvaSca
sp004-001413_KS_15	tasmAt
sp004-001414_KS_15	paYcamyAstasil
sp004-001415_KS_15	hetvarTe paYcamI
sp004-001416_KS_15	vijitvarEH jayanaSIlEH purandarAdiBiH surEH samantAtparitaH
sp004-001417_KS_15	sanATena sahitena manmaTahantfsUnunA SivaputreRa samam saha samaram yudDam
sp004-001418_KS_15	kartumiti SezaH
sp004-001419_KS_15	mA gAH mA yAhi
sp004-001420_KS_15	guheti
sp004-001421_KS_15	Bo madAnDa saNgare yudDe aBimuKaH sammuKaH zaqdinAni jAtAti vyatItAni yasya
sp004-001422_KS_15	janmadinAdAraBya atikrAnta zaqdinIkaH ityarTaH
sp004-001423_KS_15	guhaH senAnIH
sp004-001424_KS_15	guhaH zARmAture guhye iti medinI
sp004-001425_KS_15	asurEH detyEH kartfBiH
sp004-001426_KS_15	niSAtamoBarEH rAtryanDatamasasamUhEH nidAGaDAmA
sp004-001427_KS_15	uzRatejAH sUrya iva na hi nEva vizahyate vimfzyate
sp004-001428_KS_15	tvayA samam saha tasya sambanDinI viroDitA vEram kutaH kAraRAtsyAt
sp004-001429_KS_15	kumAravizayakaBavatkftavEranimittasamaraH anucita eva iti BAvaH
sp004-001430_KS_15	aBraMlihEriti
sp004-001431_KS_15	Bo madAnDa yena senAnyA kartrA
sp004-001432_KS_15	aBraMlihEH AkASaspfgBiH SrfNgaSatEH sAnuSatEH
sp004-001433_KS_15	taTA dikcakravAlEH
sp004-001434_KS_15	kAzWAmaRqalEH cakravAlam tu maRqalam ityamaraH
sp004-001435_KS_15	samantataH paritaH sTagitasya AcCAditasya krOYcasya
sp004-001436_KS_15	krOYcasaYjYakasya BUBftaH parvatasya sambanDi ranDram Cidram
sp004-001437_KS_15	jAtO ekavacanam
sp004-001438_KS_15	viSiKena bARena nirmame nirmitam
sp004-001439_KS_15	karmaRi liw
sp004-001440_KS_15	tasya AhavaH saNgrAmaH tvayA saha kutaH kAraRAtsyAt
sp004-001441_KS_15	api tu nedam ucitam iti BAvaH
sp004-001442_KS_15	labDveti
sp004-001443_KS_15	yaH jAmadagnyaH paraSurAmaH anaNgavidvizaha harasakASAt Danurvedam labDvA prApya
sp004-001444_KS_15	aDItya iti yAvat
sp004-001445_KS_15	ataH samare yuDi mahIBujAm rAjYAm sambanDiBiH
sp004-001446_KS_15	ruDirAmbuBiH SoRitajalEH triHsaptakftvaH triguRasaptavAram
sp004-001447_KS_15	ekaviMSativAram iti yAvat
sp004-001448_KS_15	aBizekam snAnam kftvA svakroDavahnim AtmIyakopAgnim SamayAmbaBUva
