sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-001981_YS_43	mano hi mantavyena arTena uparaktam
sp008-001982_YS_43	tat svayam ca vizayatvAt vizayiRA puruzeRa AtmIyayA vfttyA aBisambadDam
sp008-001983_YS_43	tadetat cittameva drazwfdfSyoparaktam vizayavizayinirBAsam cetanAcetanasvarUpApannam vizayAtmakam api avizayAtmakam iva acetanam cetanamiva sPawikamaRikalpam sarvArTam ityucyate
sp008-001984_YS_43	tadanena cittasArUpyeRa BrAntAH kecit tadeva cetanam ityAhuH
sp008-001985_YS_43	apare cittamAtrameva idam sarvam nAsti Kalvayam gavAdiH GawAdiSca sakAruRo lokaH iti
sp008-001986_YS_43	anukampanIyAH te
sp008-001987_YS_43	kasmAt asti hi tezAm BrAntibIjam sarvarUpAkAranirBAsam cittamiti
sp008-001988_YS_43	samADiprajYAyAm prajYeyaH arTaH pratibimbIBUtaH tasya AlambanIBUtatvAt anyaH
sp008-001989_YS_43	sa cedarTaH cittamAtram syAt kaTam prajYayA eva prajYArUpam avaDAryeta
sp008-001990_YS_43	tasmAt pratibimbIBUtaH arTaH prajYAyAm yena avaDAryate saH puruza iti
sp008-001991_YS_43	evam grahItfgrahaRagrAhyasvarUpacittaBedAt trayamapi etajjAtitaH praviBajante
sp008-001992_YS_43	te samyagdarSinaH tEH aDigataH puruzaH iti
sp008-001993_YS_43	kutaScEtat tadasaNKyeyavAsanAcitramapi parArTam saMhatyakAritvAt
sp008-001994_YS_43	tadetat cittam asaNKyeyABiH vAsanABiH eva citrIkftamapi parArTam parasya BogApavargArTam na svArTam saMhatyakAritvAt gfhavat
sp008-001995_YS_43	saMhatyakAriRA cittena na svArTena Bavitavyam
sp008-001996_YS_43	na suKacittam suKArTam na jYAnam jYAnArTam uBayamapi etat parArTam
sp008-001997_YS_43	yaSca Bogena apavargeRa ca arTena arTavAn puruzaH
sp008-001998_YS_43	sa eva paro na paraH sAmAnyamAtram
sp008-001999_YS_43	yattu kiYcitparam sAmAnyamAtram svarUpeRa udAharet vEnASikaH tatsarvam saMhatyakAritvAt parArTameva syAt
sp008-002000_YS_43	yastvasO paro viSezaH sa na saMhatyakArI puruza iti
sp008-002001_YS_43	viSezadarSina AtmaBAva BAvanAvinivfttiH
sp008-002002_YS_43	yaTA prAvfzi tfRANkurasya udBedena tadbIjasattA anumIyate taTA mokzamArgaSravaRena yasya romaharzASrupAtO dfSyete
sp008-002003_YS_43	tatrApi asti viSezadarSanabIjam apavargaBAgIyam karmABinirvartitam ityanumIyate
sp008-002004_YS_43	tasya AtmaBAvaBAvanA svABAvikI pravartate
sp008-002005_YS_43	yasya aBAvAt idamuktam svaBAvam muktvA dozAt yezAm pUrvapakze rucirBavati aruciSca nirRaye Bavati
sp008-002006_YS_43	tatra AtmaBAvaBAvanA koऽhamAsam kaTamahamAsam
sp008-002007_YS_43	kim svididam kaTam svididam ke BavizyAmaH kaTam vA BavizyAmaH iti
sp008-002008_YS_43	sA tu viSezadarSino nivartate
sp008-002009_YS_43	kutaH cittasyEva ezaH vicitraH pariRAmaH
sp008-002010_YS_43	puruzastu asatyAm avidyAyAm SudDaH cittaDarmEH aparAmfzwaH iti
sp008-002011_YS_43	tataH asya AtmaBAvaBAvanA kuSalasya nivartate iti
sp008-002012_YS_43	tadA vivekanimnam kEvalyaprAgBAram cittam
sp008-002013_YS_43	tadAnIm yadasya cittam vizayaprAgBAram ajYAnanimnam AsIt tadasya anyaTA Bavati
sp008-002014_YS_43	kEvalyaprAgBAram vivekajajYAnanimnam iti
sp008-002015_YS_43	tacCidrezu pratyayAntarARi saMskAreByaH
sp008-002016_YS_43	pratyayavivekanimnasya sattvapuruzAnyatAKyAtimAtrapravAhinIH cittasya tacCidrezu pratyayAntarARi asmIti vA mameti vA jAnAmIti vA na jAnAmIti vA
sp008-002017_YS_43	kutaH kzIyamAnabIjeByaH pUrvasaMskAreByaH iti
sp008-002018_YS_43	hAnamezAm kleSavaduktam
sp008-002019_YS_43	yaTA kleSAH dagDabIjaBAvAH na prarohasamarTAH Bavanti taTA jYAnAgninA dagDabIjaBAvaH pUrvasaMskAro na pratyayaprasUH Bavati
sp008-002020_YS_43	jYAnasaMskArAstu cittADikArasamAptim anuSerata iti na cintyante
sp008-002021_YS_43	prasaNKyAneऽpyakusIdasya sarvaTA vivekaKyAterDarmameGaH samADiH
sp008-002022_YS_43	yadA ayam brAhmaRaH prasaNKyAneऽpi akusIdaH tatoऽpi na kiYcit prArTayate
sp008-002023_YS_43	tatrApi viraktasya sarvaTA vivekaKyAtireva BavatIti saMskArabIjakzayAt nAsya pratyayAntarARi utpadyante
sp008-002024_YS_43	tadA asya DarmameGo nAma samADiH Bavati
sp008-002025_YS_44	tataH kleSakarmanivfttiH
sp008-002026_YS_44	tallABAt avidyAdayaH kleSAH samUlakAzam kazitA Bavanti
sp008-002027_YS_44	kuSalAkuSalASca karmASayAH samUlaGAtam hatA Bavanti
sp008-002028_YS_44	kleSakarmanivfttO jIvanneva vidvAn vimukto Bavati
sp008-002029_YS_44	kasmAt yasmAt viparyayo Bavasya kAraRam
sp008-002030_YS_44	na hi kzIRaviparyayaH kaScit kenacit kvacicca jAto dfSyata iti
sp008-002031_YS_44	tadA sarvAvaraRamalApetasya jYAnasyAnantyAjjYeyamalpam
sp008-002032_YS_44	sarvEH kleSakarmAvaraREH vimuktasya jYAnasya Anantyam Bavati
sp008-002033_YS_44	AvarakeRa tamasABiBUtam AvftajYAnasattvam kvacideva rajasA pravartitam udGAwitam grahaRasamarTam Bavati
sp008-002034_YS_44	tatra yadA sarvEH AvaraRamalEH apagatam amalam Bavati tadA Bavati asya Anantyam
sp008-002035_YS_44	jYAnasya AnantyAj jYeyam alpam sampadyate yaTAkASe KadyotaH
sp008-002036_YS_44	yatredamuktam
sp008-002037_YS_44	anDo maRimaviDyattam anaNgulirAvayat
sp008-002038_YS_44	agrIvastam pratyamuYcat tamajihvoऽByapUjayat iti
sp008-002039_YS_44	tataH kftArTAnAm pariRAmakrama parisamAptirguRAnAm
sp008-002040_YS_44	tasya DarmameGasya udayAt kftArTAnAm guRAnAm pariRAmakramaH parisamApyate
sp008-002041_YS_44	na hi kftaBogApavargAH parisamAptakramAH kzaRamapi avasTAtum utsahante
sp008-002042_YS_44	aTa koऽyam kramo nAmeti
sp008-002043_YS_44	kzaRapratiyogI pariRAmAparAntanirgrAhyaH kramaH
sp008-002044_YS_44	kzaRAnantaryAtmA pariRAmasya aparAntena avasAnena gfhyate kramaH
sp008-002045_YS_44	na hi ananuBUtakramakzaRA navasya purARatA vastrasyAnte Bavati
sp008-002046_YS_44	nityezu ca kramo dfzwaH
sp008-002047_YS_44	dvayI ceyam nityatA
sp008-002048_YS_44	kUwasTanityatA pariRAminityatA ca
sp008-002049_YS_44	tatra kUwasTanityatA puruzasya pariRAminityatA guRAnAm
sp008-002050_YS_45	yasmin pariRamyamAne tattvam na vihanyate tannityam
sp008-002051_YS_45	uBayasya ca tattvAnaBiGAtAt nityatvam
sp008-002052_YS_45	tatra guRaDarmezu budDyAdizu pariRAmAparAntanirgrAhyaH kramaH labDaparyavasAnaH
sp008-002053_YS_45	nityezu Darmizu guRezu alabDaparyavasAnaH
sp008-002054_YS_45	kUwasTanityezu svarUpamAtrapratizWezu muktapuruzezu svarUpAstitA krameREva anuBUyata iti tatrApi alabDaparyavasAnaH
sp008-002055_YS_45	SabdapfzWena astikriyAm upAdAya kalpita iti
sp008-002056_YS_45	aTAsya saMsArasya sTityA gatyA ca guRezu vartamAnasya asti kramasamAptirna veti avacanIyam etat
sp008-002057_YS_45	kaTam asti praSnaH ekAntavacanIyaH sarvo jAtO marizyati om Bo iti
sp008-002058_YS_45	aTa sarvo mftvA janizyate iti
sp008-002059_YS_45	viBajyavacanIyam etat
sp008-002060_YS_45	pratyuditaKyAtiH kzIRatfzRaH kuSalo na janizyate itarastu janizyate
sp008-002061_YS_45	taTA manuzyajAtiH SreyasI na vA SreyasI ityevam paripfzwam viBajyavacanIyaH praSnaH
sp008-002062_YS_45	paSUn uddiSya SreyasI devAn fzIMSca aDikftya neti
sp008-002063_YS_45	ayam tu avacanIyaH praSnaH
sp008-002064_YS_45	saMsAroऽyam antavAn aTa ananta iti
sp008-002065_YS_45	kuSalasya asti saMsArakramasamAptiH netarasya iti anyatarAvaDAraRe adozaH
sp008-002066_YS_45	tasmAt vyAkaraRIya evAyam praSnaH iti
sp008-002067_YS_45	guRADikArakramasamAptO kEvalyam uktam
sp008-002068_YS_45	tatsvarUpam avaDAryate
sp008-002069_YS_45	puruzArTaSUnyAnAm guRAnAm pratiprasavaH kEvalyam svarUpapratizWA vA citiSaktiriti
sp008-002070_YS_45	iti SrIBagavatpataYjaliviracite yogasUtre caturTaH kEvalyapAdaH
sp008-002071_YS_45	kftaBogApavargARAm puruzArTaSUnyAnAm yaH pratiprasavaH kAryakAraRAtmanAm guRAnAm tatkEvalyam
sp008-002072_YS_45	svarUpapratizWA punarbudDisattvAnaBisambanDAt puruzasya citiSaktireva kevalA
sp008-002073_YS_45	tasyAH sadA taTEva avasTAnam kEvalyamiti
sp008-002074_YS_45	iti SrIpAtaYjale yogaSAstre sANKyapravacane kEvalyapAdaH caturTaH
sp008-002075_YS_45	iti pAtaYjalayogasUtrARi
sp008-002076_Yugavatara_01	kintu aho AScaryam
sp008-002077_Yugavatara_01	etena SivarAjaH DftihInaH na aBavat
sp008-002078_Yugavatara_01	yataH tasya hfdayena svAtantryadevyAH puRyahastasya amftasparSaH prAptaH AsIt
sp008-002079_Yugavatara_01	A SataSaH varzeByaH vIrARAm balidAnasya raktena pavitritAyAH tulajABavAnyAH varadahastaH tasya Sirasi AsIt
sp008-002080_Yugavatara_01	BinnAH vigrahAH CinnAni maNgalasUtrARi ca pratIkArArTam tam Ahvayanti sma
sp008-002081_Yugavatara_01	bAlaH SivarAjaH yadA bijApure AsIt tadA pravfttO uBO mArmikaprasaNgO
sp008-002082_Yugavatara_01	lokagItadvArA janamAnase ciram sTitAm tadAnIntanamanaHsTitim varRayataH
sp008-002083_Yugavatara_01	ekadA SahAjiH putram bijApuracakravartinaH AsTAnam prati nItavAn
sp008-002084_Yugavatara_01	tatratyam vEBavam cakravartinaH darpaH ca varRanAtItO AstAm
sp008-002085_Yugavatara_01	cakravartinaH aDInAH mARqalikAH rAjAnaH gaRanAyakAH ca siMhAsanasya purataH gatvA
sp008-002086_Yugavatara_01	trivAram kurnIsAt kftvA svasTAnam gatvA upaviSanti sma
sp008-002087_Yugavatara_01	SahAjirAjasya paryAyaH AgataH
sp008-002088_Yugavatara_01	saH api anyEH yaTA kftam taTEva akarot
sp008-002089_Yugavatara_01	anantaram saH putrasya hastam gfhItvA agre nItvA siMhAsanasya purataH sTagitavAn
sp008-002090_Yugavatara_01	putram uddiSya prItipUrvakEH vacanEH vatsa Siva cakravartinam namaskarotu tAvat iti uktavAn
sp008-002091_Yugavatara_01	svasya sevArTam SahAjiH putram AnItavAn asti iti jYAtavataH AdilaSAhasya mahAn AnandaH
sp008-002092_Yugavatara_01	dvAdaSavarzIyam tam bAlakam saH mohakaH prasaNgaH aboDayat
sp008-002093_Yugavatara_01	hU~ namaskarotu
sp008-002094_Yugavatara_01	ezaH BavataH jIvanasya suvarRAvasaraH
sp008-002095_Yugavatara_01	santuzwaH cakravartI Bavate pAritozikam dadyAt
sp008-002096_Yugavatara_01	agre BavAn dalapatiH api Bavet iti
sp008-002097_Yugavatara_01	aparasmin kzaRe eva manogarBAt aparaH DvaniH SrutaH
sp008-002098_Yugavatara_01	kzudrasya parakIyasya purataH BavAn kim natamastakaH Bavet
sp008-002099_Yugavatara_01	svasya Darmam paramparAm ca kim BavAn vismftavAn
sp008-002100_Yugavatara_01	jIjAmAtrA uktAH rAmakfzRaBImABimanyupraBftInAm kaTAH smaratu
sp008-002101_Yugavatara_01	kasmAt Bayam BavataH
sp008-002102_Yugavatara_01	AgacCatu mama gaganacumbinAm durBedyaSiKarARAm praRAmAn svIkarotu
sp008-002103_Yugavatara_01	mama upatyakAsu araRyezu ca BavataH pAdaDUliH patatu
sp008-002104_Yugavatara_01	dAsyAt mAm mocayatu
sp008-002105_Yugavatara_01	mama bAhvoH AliNgane svatantraH san sArvaBOmaH samrAw BUtvA SoBatAm
sp008-002106_Yugavatara_01	mAtA BavAnI sadA Bavantam pAlayizyati iti
sp008-002107_Yugavatara_01	saH kasya svaraH
sp008-002108_Yugavatara_01	sahyAdreH gadgaditAt antaHkaraRAt nirgataH suparicitaH svaraH saH
sp008-002109_Yugavatara_01	SivarAjaH kasya vacanam SfRuyAt
sp008-002110_Yugavatara_01	tasmE janma dattavatI mAtfBUmiH svasya Bavizyam jYAtum utsukA AsIt
sp008-002111_Yugavatara_01	SivarAjasya namanam tulajABavAnyAH purataH uta cakravartinaH sammuKe
sp008-002112_Yugavatara_01	svAtantryadevyE uta dAsyamohinyE iti
sp008-002113_Yugavatara_01	saH svAtantryadevIm eva nantum izwavAn ityatra kaH sandehaH
sp008-002114_Yugavatara_01	siMhaSAvakaH paryuzitam mAMsam KAdan paYjare sTAtum icCati kim
sp008-002115_Yugavatara_01	tatrApi etasyAH pAvanaBUmyAH svAtantryadevyAH tapasaH puRyaPalena jAtaH kesarI kim taTA kuryAt
sp008-002116_Yugavatara_01	SivarAjaH padadvayam pfzWataH anayat
sp008-002117_Yugavatara_01	punaSca SahAjiH anunayapUrvakam avadat vatsa SIGram tvaryatAm
sp008-002118_Yugavatara_01	namaskarotu tam iti
sp008-002119_Yugavatara_01	SivarAjaH AScaryacakitaH san pitaram apaSyat
sp008-002120_Yugavatara_01	pitaH AvaSyakam cet Bavantam namAmi
sp008-002121_Yugavatara_01	devam mAtaram ca sAzwANgam praRamAmi
sp008-002122_Yugavatara_01	kintu etasya vEdeSikarAjasya namaskAraH kimarTam karaRIyaH
sp008-002123_Yugavatara_01	mayA etat kartum na Sakyate iti BAvaH tasya muKe sPuwam dfSyate sma
sp008-002124_Yugavatara_01	pitA api putrasya BAvam avagatavAn
sp008-002125_Yugavatara_01	kintu saH nirupAyaH AsIt
sp008-002126_Yugavatara_01	SivarAjaH svasya ugrAm dfzwim cakravartinaH diSi prasAritavAn
sp008-002127_Yugavatara_01	pApI nIcaH asmaddeSasya SatruH asmadDarmasya vErI ca ezaH
sp008-002128_Yugavatara_01	sakft laNGanena etam kim praharARi
sp008-002129_Yugavatara_01	yaTA SrIkfzRaH utplutya siMhAsanasTam kaMsam pAtayitvA tasya urasi upavizwavAn AsIt
sp008-002130_Yugavatara_01	taTA aham api karomi kim iti BAvaH tasya manasi AgataH
sp008-002131_Yugavatara_01	SiraH unnamayya sTitam bAlakam dfzwvA cakravartI SahAjirAja Bavatu nAma
sp008-002132_Yugavatara_01	mugDasya bAlakasya anuroDena kim
sp008-002133_Yugavatara_01	cintA mAstu
sp008-002134_Yugavatara_01	tam nayatu iti uktavAn
sp008-002135_Yugavatara_01	Sironamanam akftvA siMhagatyA taTEva gacCantam tam bAlam dfzwvA
sp008-002136_Yugavatara_01	tatratyAH janAH sarve AScaryacakitAH aBavan
sp008-002137_Yugavatara_02	pitA putreRa saha gfham pratyAgatavAn
sp008-002138_Yugavatara_02	anantaram api kadAcit SivarAjasya nizWA nikazaSilayA udGfzwA jAtA
sp008-002139_Yugavatara_02	sA api GawanA bijApure eva pravfttA
sp008-002140_Yugavatara_02	kadAcit SivarAjaH nagarasaYcArArTam gatavAn AsIt
sp008-002141_Yugavatara_02	tadA mArge kaScit GAtakaH Denum hantum Kaqgam gfhItvA sTitavAn tena dfzwaH
sp008-002142_Yugavatara_02	yAvat saH GAtukaH hananam kartum Kaqgam unnItavAn tAvatA SivarAjaH tasya hastam svasya Kaqgena prahfta vAn eva
sp008-002143_Yugavatara_02	GAtukasya hastaH aDaH apatat
sp008-002144_Yugavatara_02	gomAtA rakzitA aBavat
sp008-002145_Yugavatara_02	mAtrA dilIpasya kaTA yA SrAvitA tatratyam gograhaRam yat varRitam tat vyarTam na aBavat
sp008-002146_Yugavatara_02	bijApure itaH param putrasya sTitiH kzemakarI na iti SahAjiH avagatavAn
sp008-002147_Yugavatara_02	putrasya nAqIzu spandamAnam svABimAnasya svaram pitA avagatavAn
sp008-002148_Yugavatara_02	saH santuzwaH aBavat
sp008-002149_Yugavatara_02	mayA yat sADayitum Sakyam na aBavat tat mama putraH yadi sADayizyati tarhi kaH dozaH iti cintitavAn saH
sp008-002150_Yugavatara_02	siMhaSAvakasya varDanam svatantravAtAvaraRe Bavatu iti uddeSena saH niScitavAn yat putraH puRenagaram prati prezaRIyaH iti
sp008-002151_Yugavatara_02	bijApurAt api puRe eva praSastam sTAnam iti tasya aBimatam AsIt
sp008-002152_Yugavatara_02	SivarAjaH api pratIkzamARaH AsIt yat kadA vA bijApurasya tyAgaH Bavet iti
sp008-002153_Yugavatara_02	dAsatAyAH durganDamayam vAtAvaraRam saH soQum na SaktavAn
sp008-002154_Yugavatara_02	SivarAjasya sAhAyyArTam nizRAtEH rAjanItipawuBiH rAjakAryaDuranDarEH upetam mantrimaRqalam kiYcana racayitvA prezitavAn SahAjiH
sp008-002155_Yugavatara_02	tasmin SyAmarAv nIlakaRWarAYJekaranAmakaH peSavA praDAnaH AsIt
sp008-002156_Yugavatara_02	kintu svayam SahAjeH samIpe eva peSavA na AsIt iti tu viparyAsaH
sp008-002157_Yugavatara_02	gajAn aSvAn Danam kartftvaSAlinaH BawAn ca svIkftya pituH
sp008-002158_Yugavatara_02	vAtsalyasya SuBASaMsanAni prApya puRenagaram prati prasTitavAn SivarAjaH
sp008-002159_Yugavatara_02	gamanamArge beNgalUrunagarasya bijApurasya ca dfSyAni tasya smftipaTam AgatAni
sp008-002160_Yugavatara_02	parasparam virudDAni dfSyAni tAni
sp008-002161_Yugavatara_02	ekatra hindusaMskfteH udAttam ujjvalam rUpam
sp008-002162_Yugavatara_02	aparatra viDarmIyARAm damanakAripravftteH asaByam Goram rUpam
sp008-002163_Yugavatara_02	prakASAnDakArayoH iva antaram tayoH
sp008-002164_Yugavatara_02	puRenagaram paritaH vidyamAnAH dvAdaSa pradeSAH eva SivarAjasya kAryakzetrezu pramuKAH Asan
sp008-002165_Yugavatara_02	koRqadevasya mantrimaRqalasya ca dakzatAyAH kAraRataH tasmin kzetre SAsanam sucArurUpeRa pracalati sma
sp008-002166_Yugavatara_02	SivarAjasya priyam kAryam nAma araRyezu parvatezu ca BramaRam
sp008-002167_Yugavatara_02	pratidinam nUtanAn grAmAn gatvA mAvaLIbAlAnAm sneham sampAdya saNGawane tAn yojayati sma saH
sp008-002168_Yugavatara_02	kadAcit prItyA kadAcit nayena punaH kadAcit Bayena ca saH sTAnIyAn deSamuKAn svapakzam prati AnItavAn
sp008-002169_Yugavatara_02	prajAsu vidyamAnAn kalaha matsara hanana drohAdIn avaguRAn dUrIkurvan AsIt saH
sp008-002170_Yugavatara_02	mAvaLIbAlEH saha tasya sambanDaH gAQaH jAyamAnaH AsIt
sp008-002171_Yugavatara_02	tezAm bAlAnAm gaRaH sAkzAt vAnarasenA iva sAhasena nizWayA parAkrameRa ca
sp008-002172_Yugavatara_02	tena sampAditezu saKyezu ekam tu atimahattvayutam
sp008-002173_Yugavatara_02	agre tasya eva saKyasya balena SivarAjaH lABAnvitaH aBavat
sp008-002174_Yugavatara_02	tacca AsIt sahyAdreH yasya pracaRqAni SiKarARi durgamAH pradeSAH GorARi araRyAni ca samagre paScime tawe prasftAni Asan
sp008-002175_Yugavatara_02	SivarAjaH tatratyam pratiSiKaram ArUQavAn pratiguham praviSya AgatavAn
sp008-002176_Yugavatara_02	sahyAdreH Antaram bAhyam ca mitram aBavat saH
sp008-002177_Yugavatara_02	sahyAdriH api tasmin prItimAn jAtaH
sp008-002178_Yugavatara_02	saH svasya antaraNgasya sarvARi rahasyAni mitram tam vistareRa avadat
sp008-002179_Yugavatara_02	sahyAdreH aNke sTitAnAm sarvezAm sUkzmasTAnAnAm jYAnam prAptavAn SivarAjaH
sp008-002180_Yugavatara_02	tatratyAnAm sarvezAm api pramuKasTAnAnAm jYAnam karatalAmalakavat jAtam
sp008-002181_Yugavatara_02	bijApurasya aDInezu pramuKanAyakezu anyatamasya putraH evam vanavAsibAlEH saha awati iti jYAtvA aneke janAH jugupsABAvam prakawitavantaH
sp008-002182_Yugavatara_02	dalapatiputraH iva avyavaharan samAnastarIyARAm bAlAnAm sneham parityajya arDanagnEH kfzIvala bAlEH saha
sp008-002183_Yugavatara_02	araRyezu paryawan ezaH bAlaH dUzitaH jAtaH asti iti aneke Kedam prakawitavantaH
sp008-002184_Yugavatara_02	SivarAjasya nAmaSravaRamAtreRa mAvaLasya vfdDapramuKAH deSamuKAH ca upahAsam kurvanti sma
sp008-002185_Yugavatara_02	yataH bijApurasya AdilaSAhisevayA eva tezAm keSAH palitAH Asan
sp008-002186_Yugavatara_02	kintu SivarAjaH tAdfSAn nimnajAtIyAn sahapaTikAn eva svarAjyamandirasya SilpirUpeRa rUpayan AsIt
sp008-002187_Yugavatara_02	tezu ekEkam api saH svasya AntaraNgikam suhfdam kftavAn uttamasvAtantryayodDAram kftavAn
sp008-002188_Yugavatara_02	etena eva krameRa nirmitAH tAnAjimALasure sUryAjimALasure bAjIpAsalkaraH
sp008-002189_Yugavatara_02	yesAjikaNkaH bAjijeDe cimaRAjiH bALAjiH ityAdayaH bahavaH
sp008-002190_Yugavatara_02	BAvini kAle svAtantryamandirasya dfQAH ADAraSilAH aBavan
sp008-002191_Yugavatara_02	devyAm BavAnyAm sTitAm SivarAjasya ananyAm Baktim te jYAtavantaH
sp008-002192_Yugavatara_02	asmadIyasya nAyakasya kAryam devakAryam eva iti te jYAtavantaH
sp008-002193_Yugavatara_02	kElAsasya BUtagaRAH iva te SivarAjasya ananyaBaktAH aBavan
sp008-002194_Yugavatara_02	tena saha krIqitvA pravfdDAH ete bAlAH eva dehalyAH bijApurasya ca sAmrAjyayoH
sp008-002195_Yugavatara_02	jagadviKyAtAn mahataH senApatIn pOnaHpunyena parAjitya DarASAyinaH kftvA raRaDuranDarAH aBavan
sp008-002196_Yugavatara_02	svasya trayodaSe eva vayasi SivarAjaH svasya rAjamudrikAm azwakoRAkftiyutAm racitavAn AsIt
sp008-002197_Yugavatara_02	etasyAH rAjamudrikAyAH vESizwyam nAma mudrikAsTaH SlokaH saMskftaBAzayA AsIt
sp008-002198_Yugavatara_02	pratipaccandraleKeva varDizRurviSvavanditA
sp008-002199_Yugavatara_02	SAhasUnoSiSavasyEzA mudrA BadrAya rAjate iti
sp008-002200_Yugavatara_02	aho kiyAn sundaraH SlokaH samagreRa viSvena vanditA pratidinam Suklapakzasya candraH iva varDamAnA prakASamAnA ca
sp008-002201_Yugavatara_02	SahAjirAjasya putrasya Sivasya ezA rAjamudrikA rAjate
sp008-002202_Yugavatara_02	kimarTam jaganmaNgalAya
sp008-002203_Yugavatara_02	svamAtrasya nimittam svagaRanimittam svajAteH udDaraRArTam vA na api tu samagrasya jagataH kalyARAya
sp008-002204_Yugavatara_02	trayodaSavarzIyasya tasya bAlasya hfdayaBAvaH aho kiyAn viSAlaH
sp008-002205_Yugavatara_02	kadAcit arDanagnEH mAvaLIbAlEH saha araRyezu saYcaran SivarAjaH rohiteSvarasvayamBUliNgasya darSanam prAptavAn
sp008-002206_Yugavatara_02	agre kadAcit sarve suhfdaH tatra sammilitAH
sp008-002207_Yugavatara_02	tasya jaganniyAmakasya purataH sTitvA tameva sAkziRam kftvA
sp008-002208_Yugavatara_02	hindusvArAjyasTApanam karizyAmaH iti pratijYAm kftavantaH te
sp008-002209_Yugavatara_02	samagrasya hindusTAnasya tadAnIntanacitrasya parivartanasAmarTyam
sp008-002210_Yugavatara_02	hindusAmrAjya nAmake tasmin bIjamantre antarhitam AsIt
sp008-002211_Yugavatara_02	SapaTaviDeH AcaraRasamaye SivarAjaH svasya pUjyam gurum dAdAjikoRqadevam api AnItavAn AsIt
sp008-002212_Yugavatara_02	SizyottamadvArA eva guruH svarAjyasTApanasya dIkzAm prAptavAn iti kAraRataH saH prasaNgaH apUrvaH AsIt
sp008-002213_Yugavatara_02	svarAjyam kA iyam mUrKatA iti upahasanti sma etAm vArtAm SrutavantaH janAH sarve
sp008-002214_Yugavatara_02	kim anyat kriyeta
sp008-002215_Yugavatara_02	paYcalakzADikasahasreRa sEnikEH sajjA dehalImogalaSAhisenA lakzyADikEH janEH yuktA bijApurasya AdilaSAhisenA
sp008-002216_Yugavatara_02	tAvatyA eva balena yuktA BAgAnagarasya kutubaSAhisenA
sp008-002217_Yugavatara_02	paScime AsAgaratIram svamUlAni prasArayanti porcugIs iNglIz PreYc qac praBftInAm sAhasiyuropIyAnAm senA ityAdizu
sp008-002218_Yugavatara_02	prabalaSatrusAmrAjyAnAm agADaSaktizu satsu maDye kutracit ajYAte koRe upaviMSAH bAlAH
sp008-002219_Yugavatara_02	kaScana vfdDaH ca militvA hindusAmrAjyasya pratijYAm kurvanti yat tat kim unmattatAdyotakam na
sp008-002220_Yugavatara_03a	tadAstAm tAvat
sp008-002221_Yugavatara_03a	paritaH vidyamAnAH svajanAH bAnDavAH vA anukUlAH santi kim na
sp008-002222_Yugavatara_03a	tadA tu haste KaqgaH yasya rAjyam tasya ityezA sTitiH AsIt
sp008-002223_Yugavatara_03a	tatra tatra deSamuKAnAm samIpe sEnyasya kaScana BAgaH Bavati sma
sp008-002224_Yugavatara_03a	svasTAne te eva rAjAnaH
sp008-002225_Yugavatara_03a	tezu eva parasparam SatruhatyA pratihatyA raktapAtaH bAlAnAm abalAnAm ca mAraRam ityAdayaH pracalanti sma ADikyena
sp008-002226_Yugavatara_03a	etatsarvam tatra sahajam eva AsIt
sp008-002227_Yugavatara_03a	samagrasya vaMSavfkzasya eva nirmUlakAnAm yudDAnAm kAraRAni Bavanti sma atikzudrAH vizayAH
sp008-002228_Yugavatara_03a	tAdfSe eva kasmiMScit krUre dAvAnale kadAcit SahAjirAjaH api patitaH AsIt
sp008-002229_Yugavatara_03a	kaYcit mattam gajam mArayitum jIjAbAyyAH agrajaH dattAjiH Kaqgam Akfzya sTitavAn AsIt
sp008-002230_Yugavatara_03a	tasya gajasya rakzaRArTam SahAjiH tasya sahodaraH ca sTitavantO
sp008-002231_Yugavatara_03a	asmin kzullake kalahe gajaH tu kutracit DAvitavAn
sp008-002232_Yugavatara_03a	kintu SahAjeH sahodaraH samBAjiH dattAjiH ca maraRam prAptavantO
sp008-002233_Yugavatara_03a	Avuttasya prahAreRa SahAjiH mUrCAvasTAm gataH AsIt
sp008-002234_Yugavatara_03a	grAme grAme gfhe gfhe etAdfSyaH durantakaTAH punaH punaH samBavanti sma
sp008-002235_Yugavatara_03a	paritaH vidyamAnAnAm SatrURAm BIzaRApAyataH api svajanAnAm AtmanASakAcaraRam BIzaRataram AsIt
sp008-002236_Yugavatara_03a	evam sTite svarAjyasTApanasya vicAraH hAsyAspadam ityeva BAsate cet na tatra AScaryam kiYcit
sp008-002237_Yugavatara_03a	kintu adyAvaDi jagati vAyunA pravAheRa vA saha gatAH keऽpi itihAsanirmAtAraH na aBavan
sp008-002238_Yugavatara_03a	parisTitirUpasya pravAhasya aBimuKam gatvA pravAham dfQacittatayA sammuKIkftya
sp008-002239_Yugavatara_03a	tasyopari ye jayam sADitavantaH tAdfSAH unmattAH eva jagadvandyAH santi
sp008-002240_Yugavatara_03a	tAdfSAnAm unmAdena eva itihAsasya puwAH alaNkftAH santi
sp008-002241_Yugavatara_03a	SivarAjaH sarvadA snehI hasanmuKaH utsAhI ca Bavati sma
sp008-002242_Yugavatara_03a	suhfdaH tu tadIyam etat eva muKam jAnanti sma
